Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,20.0,VIR,ABA,SG,30,,23.0,5.4,11.4,.472,0.2,0.9,.231,5.2,10.5,.492,.481,3.2,3.9,.814,1.1,3.1,4.3,1.1,,,1.8,2.4,14.1
1973-74,21.0,TOT,ABA,"SF,SG",74,,33.9,9.1,19.3,.471,0.1,0.8,.143,9.0,18.5,.485,.474,5.1,6.3,.815,2.3,6.1,8.4,1.9,1.4,1.6,3.4,3.6,23.4
1973-74,21.0,VIR,ABA,SG,49,,35.3,9.9,21.0,.472,0.2,1.0,.160,9.8,20.0,.488,.476,5.3,6.7,.799,2.2,6.3,8.5,2.0,1.5,1.8,3.8,3.4,25.4
1973-74,21.0,SAA,ABA,SF,25,,31.3,7.4,15.8,.468,0.0,0.2,.000,7.4,15.6,.476,.468,4.6,5.4,.853,2.5,5.8,8.2,1.8,1.0,1.4,2.6,3.9,19.4
1974-75,22.0,SAA,ABA,SF,84,,37.1,9.3,19.7,.474,0.2,0.7,.309,9.1,19.0,.479,.479,4.5,5.5,.830,2.9,5.4,8.3,2.5,1.6,1.6,3.0,3.5,23.4
1975-76,23.0,SAA,ABA,SF,81,,33.9,8.7,17.5,.499,0.2,0.7,.255,8.5,16.8,.509,.504,4.2,4.9,.857,2.2,4.5,6.7,2.5,1.4,1.5,2.7,3.6,21.8
1976-77,24.0,SAS,NBA,SF,82,,33.0,8.9,16.3,.544,,,,8.9,16.3,.544,.544,5.4,6.5,.833,1.6,3.9,5.5,2.9,1.3,1.3,,3.5,23.1
1977-78,25.0,SAS,NBA,SG,82,,34.8,10.5,19.6,.536,,,,10.5,19.6,.536,.536,6.1,7.4,.830,1.4,3.7,5.1,3.7,1.7,1.3,3.7,3.1,27.2
1978-79,26.0,SAS,NBA,SF,80,,36.1,11.8,21.9,.541,,,,11.8,21.9,.541,.541,5.9,7.1,.826,1.8,3.2,5.0,2.7,1.7,1.1,3.6,3.4,29.6
1979-80,27.0,SAS,NBA,SG,78,,37.6,13.1,24.9,.528,0.4,1.3,.314,12.7,23.6,.540,.536,6.5,7.6,.852,2.0,3.2,5.2,2.6,1.4,1.0,3.3,2.7,33.1
1980-81,28.0,SAS,NBA,SG,82,,33.7,10.4,21.1,.492,0.1,0.4,.257,10.3,20.7,.496,.494,6.2,7.6,.826,1.5,3.6,5.1,3.2,1.1,0.7,3.1,2.6,27.1
1981-82,29.0,SAS,NBA,SG,79,79,35.7,12.6,25.2,.500,0.1,0.5,.278,12.4,24.7,.504,.502,7.0,8.1,.864,1.7,3.2,5.0,2.4,1.0,0.6,2.7,2.7,32.3
1982-83,30.0,SAS,NBA,SG,78,78,36.3,9.7,19.9,.487,0.2,0.4,.364,9.6,19.5,.490,.491,6.6,7.8,.853,1.4,3.2,4.6,3.4,1.1,0.9,3.2,3.1,26.2
1983-84,31.0,SAS,NBA,SG,76,76,34.0,10.1,20.5,.490,0.1,0.3,.417,9.9,20.2,.491,.493,5.6,6.7,.842,1.4,2.7,4.1,2.9,1.0,0.6,2.9,2.9,25.9
1984-85,32.0,SAS,NBA,SG,72,69,29.0,8.3,16.4,.508,0.0,0.1,.000,8.3,16.3,.512,.508,4.5,5.3,.844,1.1,2.2,3.3,2.5,0.9,0.7,2.8,2.9,21.2
1985-86,33.0,CHI,NBA,SG,82,75,25.2,6.3,13.4,.472,0.0,0.2,.211,6.3,13.2,.476,.474,3.5,3.9,.879,1.0,1.7,2.6,1.8,0.6,0.3,2.0,2.6,16.2
1986-87,34.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
