Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2003,22.0,MEM,NBA,PF,12.0,0.0,72.0,4.3,14.4,0.3,0.0,0.0,,4.3,14.4,0.3,5.0,12.9,0.389,4.3,7.9,12.2,2.2,0.0,2.2,5.0,6.5,13.7,,69.0,109.0
2004,23.0,TOT,NBA,"C,PF",32.0,3.0,256.0,1.9,7.1,0.273,0.0,0.0,,1.9,7.1,0.273,3.0,6.7,0.452,4.5,6.7,11.2,2.8,3.0,0.6,2.2,10.8,6.9,,84.0,98.0
2004,23.0,PHO,NBA,PF,1.0,0.0,6.0,0.0,8.6,0.0,0.0,0.0,,0.0,8.6,0.0,8.6,17.3,0.5,0.0,8.6,8.6,8.6,0.0,0.0,8.6,8.6,8.6,,52.0,109.0
2004,23.0,ORL,NBA,PF,1.0,0.0,4.0,13.2,26.4,0.5,0.0,0.0,,13.2,26.4,0.5,0.0,26.4,0.0,0.0,13.2,13.2,0.0,13.2,0.0,0.0,0.0,26.4,,66.0,82.0
2004,23.0,TOR,NBA,C,30.0,3.0,246.0,1.8,6.7,0.267,0.0,0.0,,1.8,6.7,0.267,2.9,6.1,0.481,4.7,6.5,11.2,2.7,2.9,0.7,2.0,11.0,6.5,,86.0,98.0
