Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,5.0,1567,CHI,Chicago Bulls,Michael Jordan,"February 17, 1963",21.0,NBA,SG,82,82,38.3,10.2,19.8,0.515,0.1,0.6,0.173,10.1,19.2,0.526,0.518,7.7,9.1,0.845,2.0,4.5,6.5,5.9,2.4,0.8,3.5,3.5,28.2
1986,5.0,1567,CHI,Chicago Bulls,Michael Jordan,"February 17, 1963",22.0,NBA,SG,18,7,25.1,8.3,18.2,0.457,0.2,1.0,0.167,8.2,17.2,0.474,0.462,5.8,6.9,0.84,1.3,2.3,3.6,2.9,2.1,1.2,2.5,2.6,22.7
1987,5.0,1567,CHI,Chicago Bulls,Michael Jordan,"February 17, 1963",23.0,NBA,SG,82,82,40.0,13.4,27.8,0.482,0.1,0.8,0.182,13.2,27.0,0.491,0.484,10.2,11.9,0.857,2.0,3.2,5.2,4.6,2.9,1.5,3.3,2.9,37.1
1988,5.0,1567,CHI,Chicago Bulls,Michael Jordan,"February 17, 1963",24.0,NBA,SG,82,82,40.4,13.0,24.4,0.535,0.1,0.6,0.132,13.0,23.7,0.546,0.537,8.8,10.5,0.841,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35.0
1989,5.0,1567,CHI,Chicago Bulls,Michael Jordan,"February 17, 1963",25.0,NBA,SG,81,81,40.2,11.9,22.2,0.538,0.3,1.2,0.276,11.6,21.0,0.553,0.546,8.3,9.8,0.85,1.8,6.2,8.0,8.0,2.9,0.8,3.6,3.0,32.5
1990,5.0,1567,CHI,Chicago Bulls,Michael Jordan,"February 17, 1963",26.0,NBA,SG,82,82,39.0,12.6,24.0,0.526,1.1,3.0,0.376,11.5,21.0,0.548,0.55,7.2,8.5,0.848,1.7,5.1,6.9,6.3,2.8,0.7,3.0,2.9,33.6
1991,5.0,1567,CHI,Chicago Bulls,Michael Jordan,"February 17, 1963",27.0,NBA,SG,82,82,37.0,12.1,22.4,0.539,0.4,1.1,0.312,11.7,21.3,0.551,0.547,7.0,8.2,0.851,1.4,4.6,6.0,5.5,2.7,1.0,2.5,2.8,31.5
1992,5.0,1567,CHI,Chicago Bulls,Michael Jordan,"February 17, 1963",28.0,NBA,SG,80,80,38.8,11.8,22.7,0.519,0.3,1.3,0.27,11.5,21.5,0.533,0.526,6.1,7.4,0.832,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5,30.1
1993,5.0,1567,CHI,Chicago Bulls,Michael Jordan,"February 17, 1963",29.0,NBA,SG,78,78,39.3,12.7,25.7,0.495,1.0,2.9,0.352,11.7,22.7,0.514,0.515,6.1,7.3,0.837,1.7,5.0,6.7,5.5,2.8,0.8,2.7,2.4,32.6
1995,5.0,1567,CHI,Chicago Bulls,Michael Jordan,"February 17, 1963",31.0,NBA,SG,17,17,39.3,9.8,23.8,0.411,0.9,1.9,0.5,8.8,21.9,0.403,0.431,6.4,8.0,0.801,1.5,5.4,6.9,5.3,1.8,0.8,2.1,2.8,26.9
1996,5.0,1567,CHI,Chicago Bulls,Michael Jordan,"February 17, 1963",32.0,NBA,SG,82,82,37.7,11.2,22.6,0.495,1.4,3.2,0.427,9.8,19.4,0.506,0.525,6.7,8.0,0.834,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4,30.4
1997,5.0,1567,CHI,Chicago Bulls,Michael Jordan,"February 17, 1963",33.0,NBA,SG,82,82,37.9,11.2,23.1,0.486,1.4,3.6,0.374,9.9,19.5,0.507,0.516,5.9,7.0,0.833,1.4,4.5,5.9,4.3,1.7,0.5,2.0,1.9,29.6
1998,5.0,1567,CHI,Chicago Bulls,Michael Jordan,"February 17, 1963",34.0,NBA,SG,82,82,38.8,10.7,23.1,0.465,0.4,1.5,0.238,10.4,21.5,0.482,0.473,6.9,8.8,0.784,1.6,4.2,5.8,3.5,1.7,0.5,2.3,1.8,28.7
2002,30.0,1567,WAS,Washington Wizards,Michael Jordan,"February 17, 1963",38.0,NBA,SF,60,53,34.9,9.2,22.1,0.416,0.2,0.9,0.189,9.0,21.2,0.426,0.42,4.4,5.6,0.79,0.8,4.8,5.7,5.2,1.4,0.4,2.7,2.0,22.9
2003,30.0,1567,WAS,Washington Wizards,Michael Jordan,"February 17, 1963",39.0,NBA,SF,82,67,37.0,8.3,18.6,0.445,0.2,0.7,0.291,8.1,18.0,0.45,0.45,3.2,4.0,0.821,0.9,5.2,6.1,3.8,1.5,0.5,2.1,2.1,20.0
