Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
2011,23,PHI,Philadelphia 76Ers,Jrue Holiday,20,5,5,188,7.1,17.2,0.41,3.3,6.2,0.52,3.9,11.0,0.35,3.6,4.5,0.8,0.9,4.8,5.6,8.3,3.0,0.6,3.3,3.0,21.1,108,108,1308
2011,23,PHI,Philadelphia 76Ers,Elton Brand,31,5,5,185,10.3,18.7,0.55,0.0,0.0,,10.3,18.7,0.55,3.0,3.9,0.77,3.6,9.1,12.7,0.9,0.6,1.8,1.2,6.3,23.5,116,109,333
2011,23,PHI,Philadelphia 76Ers,Andre Iguodala,27,5,5,182,6.7,16.0,0.42,0.9,4.3,0.21,5.8,11.7,0.5,3.1,4.3,0.71,2.1,8.6,10.7,10.4,1.5,0.6,4.3,4.9,17.5,99,108,1376
2011,23,PHI,Philadelphia 76Ers,Lou Williams,24,5,0,130,7.3,22.3,0.33,2.6,8.6,0.3,4.7,13.7,0.34,6.0,8.2,0.74,0.0,3.4,3.4,6.4,2.1,0.0,1.7,2.6,23.2,97,112,3157
2011,23,PHI,Philadelphia 76Ers,Thaddeus Young,22,5,0,127,11.0,26.4,0.42,0.0,0.4,0.0,11.0,25.9,0.42,3.1,5.3,0.58,7.5,5.3,12.7,1.8,1.8,0.4,3.1,5.7,25.1,92,111,3262
2011,23,PHI,Philadelphia 76Ers,Jodie Meeks,23,5,5,125,5.8,13.8,0.42,3.6,8.0,0.44,2.2,5.8,0.38,2.2,2.7,0.83,0.9,3.6,4.5,1.8,1.3,0.0,0.9,2.7,17.4,116,113,1962
2011,23,PHI,Philadelphia 76Ers,Spencer Hawes,22,5,5,98,6.8,18.8,0.36,0.0,0.6,0.0,6.8,18.2,0.38,1.1,2.3,0.5,2.8,8.0,10.8,5.1,0.0,1.1,1.1,6.3,14.8,89,112,1226
2011,23,PHI,Philadelphia 76Ers,Evan Turner,22,5,0,97,9.8,21.9,0.45,2.3,2.9,0.8,7.5,19.0,0.39,1.2,1.2,1.0,2.3,10.9,13.2,2.3,1.7,0.6,0.0,5.2,23.0,112,106,2924
2011,23,PHI,Philadelphia 76Ers,Tony Battie,34,5,0,38,4.4,10.3,0.43,0.0,0.0,,4.4,10.3,0.43,1.5,2.9,0.5,2.9,11.8,14.7,0.0,0.0,4.4,1.5,7.3,10.3,90,105,188
2011,23,PHI,Philadelphia 76Ers,Marreese Speights,23,2,0,21,5.3,31.9,0.17,0.0,0.0,,5.3,31.9,0.17,0.0,0.0,,2.7,13.3,16.0,2.7,0.0,2.7,0.0,10.6,10.6,47,106,2724
2011,23,PHI,Philadelphia 76Ers,Andres Nocioni,31,1,0,10,0.0,16.8,0.0,0.0,11.2,0.0,0.0,5.6,0.0,0.0,0.0,,0.0,11.2,11.2,0.0,0.0,0.0,5.6,5.6,0.0,0,110,2149
