Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
2011,2,BOS,Boston Celtics,Ray Allen,35,9,9,361,8.5,16.3,0.52,4.8,8.4,0.57,3.7,7.9,0.47,3.6,3.7,0.96,0.7,4.3,5.1,3.3,1.6,0.1,1.5,3.1,25.4,136,106,54
2011,2,BOS,Boston Celtics,Rajon Rondo,24,9,9,345,8.0,16.7,0.48,0.0,0.5,0.0,8.0,16.2,0.49,3.7,5.9,0.63,1.7,5.9,7.7,13.4,1.6,0.0,5.2,2.5,19.7,105,106,2503
2011,2,BOS,Boston Celtics,Paul Pierce,33,9,9,343,10.7,23.2,0.46,3.3,7.4,0.45,7.4,15.9,0.46,4.7,5.3,0.88,0.8,6.3,7.1,3.9,1.9,0.6,3.8,4.7,29.4,107,104,2304
2011,2,BOS,Boston Celtics,Kevin Garnett,34,9,9,328,9.2,20.9,0.44,0.0,0.2,0.0,9.2,20.7,0.44,3.6,4.8,0.76,3.4,12.6,16.1,3.8,2.8,1.5,3.1,4.4,22.0,99,96,997
2011,2,BOS,Boston Celtics,Jermaine O'Neal,32,9,9,197,5.7,11.8,0.49,0.0,0.0,,5.7,11.8,0.49,2.7,3.0,0.91,4.1,6.3,10.4,2.2,0.5,4.4,2.2,9.3,14.2,110,103,2176
2011,2,BOS,Boston Celtics,Glen Davis,25,9,0,191,5.1,13.0,0.39,0.0,0.3,0.0,5.1,12.7,0.4,2.3,3.1,0.73,2.0,7.1,9.0,2.3,0.8,0.0,2.5,5.9,12.4,87,106,687
2011,2,BOS,Boston Celtics,Jeff Green,24,9,0,173,7.2,16.5,0.43,2.2,5.0,0.44,5.0,11.5,0.43,4.0,5.6,0.72,1.9,5.6,7.5,0.6,1.6,1.2,3.7,6.2,20.6,95,104,1106
2011,2,BOS,Boston Celtics,Delonte West,27,9,0,170,7.0,14.9,0.47,2.2,6.0,0.37,4.8,8.9,0.54,2.5,3.2,0.8,1.3,4.1,5.4,3.8,1.6,0.0,3.8,5.1,18.7,101,107,3072
2011,2,BOS,Boston Celtics,Nenad Krstic,27,7,0,56,4.8,7.7,0.62,0.0,0.0,,4.8,7.7,0.62,1.9,2.9,0.67,4.8,6.7,11.5,1.9,0.0,3.8,2.9,7.7,11.5,114,104,1657
2011,2,BOS,Boston Celtics,Shaquille O'Neal,38,2,0,12,4.5,9.0,0.5,0.0,0.0,,4.5,9.0,0.5,0.0,9.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,18.0,9.0,83,103,2177
2011,2,BOS,Boston Celtics,Von Wafer,25,3,0,5,0.0,21.6,0.0,0.0,10.8,0.0,0.0,10.8,0.0,0.0,0.0,,0.0,10.8,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0,105,2991
2011,2,BOS,Boston Celtics,Troy Murphy,30,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,218,114,2087
