Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1980,26,KCK,Kansas City Kings,Scott Wedman,27,3,,38.7,9.7,21.3,0.45,0.7,1.0,0.67,9.0,20.3,0.44,0.47,2.7,3.7,0.73,2.0,5.0,7.0,3.0,0.3,1.0,0.7,3.0,22.7
1980,26,KCK,Kansas City Kings,Otis Birdsong,24,3,,37.3,10.0,20.7,0.48,0.0,1.0,0.0,10.0,19.7,0.51,0.48,2.0,4.7,0.43,3.7,4.0,7.7,2.3,1.3,0.0,2.0,1.7,22.0
1980,26,KCK,Kansas City Kings,Phil Ford,23,3,,36.7,6.7,14.3,0.46,1.0,1.3,0.75,5.7,13.0,0.44,0.5,3.0,3.7,0.82,0.0,2.0,2.0,8.7,1.7,0.0,4.0,2.0,17.3
1980,26,KCK,Kansas City Kings,Sam Lacey,31,3,,33.7,2.7,7.0,0.38,0.3,0.3,1.0,2.3,6.7,0.35,0.4,1.0,1.3,0.75,2.0,5.3,7.3,4.3,2.3,0.7,2.7,3.7,6.7
1980,26,KCK,Kansas City Kings,Reggie King,22,3,,25.7,3.3,7.0,0.48,0.0,0.0,,3.3,7.0,0.48,0.48,1.7,3.0,0.56,2.3,6.0,8.3,1.3,0.3,0.0,0.7,3.3,8.3
1980,26,KCK,Kansas City Kings,Bill Robinzine,27,3,,23.0,4.3,8.0,0.54,0.0,0.0,,4.3,8.0,0.54,0.54,2.3,3.3,0.7,2.3,3.7,6.0,0.0,1.0,0.0,2.0,2.0,11.0
1980,26,KCK,Kansas City Kings,Len Elmore,27,3,,14.3,1.3,4.3,0.31,0.0,0.0,,1.3,4.3,0.31,0.31,0.3,0.7,0.5,2.0,1.7,3.7,0.3,1.0,0.3,1.3,1.3,3.0
1980,26,KCK,Kansas City Kings,Billy McKinney,24,3,,11.3,0.7,1.7,0.4,0.0,0.3,0.0,0.7,1.3,0.5,0.4,0.0,0.0,,0.7,0.3,1.0,2.7,0.0,0.0,1.0,0.7,1.3
1980,26,KCK,Kansas City Kings,Ernie Grunfeld,24,3,,10.7,1.7,3.0,0.56,0.0,0.0,,1.7,3.0,0.56,0.56,0.3,1.0,0.33,0.3,0.0,0.3,0.0,0.3,0.0,0.0,1.0,3.7
1980,26,KCK,Kansas City Kings,Gus Gerard,26,3,,8.7,1.3,3.3,0.4,0.0,0.0,,1.3,3.3,0.4,0.4,0.7,1.3,0.5,1.3,1.3,2.7,0.7,0.0,0.0,1.3,0.7,3.3
