PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Antonio Davis,33,77,77,2978,5.0,11.6,0.426,0.0,0.0,0.0,5.0,11.6,0.426,3.5,4.3,0.818,3.1,5.9,8.9,1.9,0.7,1.0,1.9,2.7,13.5
Alvin Williams,27,82,82,2927,5.0,11.9,0.415,0.8,2.4,0.321,4.2,9.6,0.43799999999999994,1.3,1.7,0.736,0.7,2.7,3.5,5.8,1.7,0.3,1.8,2.3,11.9
Vince Carter,25,60,60,2385,8.4,19.7,0.428,1.8,4.7,0.387,6.6,15.0,0.441,3.7,4.6,0.7979999999999999,2.1,2.6,4.7,3.6,1.4,0.6,2.3,2.9,22.4
Keon Clark,26,81,31,2185,6.3,12.8,0.49,0.0,0.1,0.0,6.3,12.7,0.494,2.6,3.8,0.674,3.0,6.9,9.9,1.4,1.0,2.0,2.3,4.3,15.1
Morris Peterson,24,63,56,1988,6.1,13.9,0.43799999999999994,1.5,4.2,0.364,4.6,9.7,0.469,2.3,3.1,0.7509999999999999,1.6,2.4,4.0,2.8,1.3,0.2,1.6,3.2,16.0
Jerome Williams,28,68,32,1641,4.2,8.5,0.49,0.0,0.0,,4.2,8.5,0.49,3.0,4.5,0.6759999999999999,3.6,4.8,8.5,1.6,1.7,0.5,1.5,3.4,11.4
Chris Childs,34,69,4,1576,2.2,6.8,0.32799999999999996,0.8,2.7,0.275,1.5,4.0,0.364,1.3,1.6,0.8170000000000001,0.4,3.1,3.5,8.0,1.3,0.1,2.8,4.0,6.5
Hakeem Olajuwon,39,61,37,1378,5.1,10.9,0.46399999999999997,0.0,0.1,0.0,5.1,10.9,0.466,1.2,2.2,0.56,2.6,7.0,9.6,1.7,1.9,2.4,2.6,3.8,11.4
Dell Curry,37,56,4,886,5.7,14.1,0.406,1.8,5.3,0.344,3.9,8.8,0.444,1.3,1.5,0.892,0.9,2.4,3.3,2.5,0.9,0.2,1.7,2.0,14.6
Eric Montross,30,49,24,655,2.9,7.3,0.402,0.0,0.1,0.0,2.9,7.2,0.405,0.5,1.7,0.32299999999999995,2.0,5.7,7.7,0.9,0.7,1.3,1.4,5.1,6.4
Tracy Murray,30,40,3,473,6.5,15.8,0.41100000000000003,3.0,7.9,0.385,3.4,7.8,0.43700000000000006,1.3,1.6,0.81,1.4,2.7,4.0,1.4,0.8,0.6,1.9,2.9,17.3
Jermaine Jackson,25,24,0,280,2.6,5.4,0.47600000000000003,0.1,0.3,0.5,2.4,5.1,0.475,2.1,3.1,0.667,0.4,3.1,3.5,7.3,1.2,0.1,1.8,3.1,7.3
Michael Bradley,22,26,0,118,4.0,7.6,0.52,0.0,0.6,0.0,4.0,7.0,0.565,1.2,2.4,0.5,2.1,5.2,7.3,0.9,0.0,1.8,1.8,3.1,9.2
Carlos Arroyo,22,17,0,96,4.9,10.9,0.44799999999999995,0.0,0.0,,4.9,10.9,0.44799999999999995,1.5,2.3,0.667,1.1,3.4,4.5,7.9,2.3,0.0,4.5,4.5,11.3
Michael Stewart,26,11,0,93,3.1,8.9,0.348,0.0,0.0,,3.1,8.9,0.348,2.3,4.3,0.545,4.6,5.0,9.7,1.2,1.5,1.2,1.5,8.5,8.5
Derrick Dial,26,7,0,50,7.9,18.7,0.423,0.7,2.9,0.25,7.2,15.8,0.455,3.6,4.3,0.833,1.4,6.5,7.9,2.9,1.4,0.0,2.2,0.7,20.2
Mamadou N'Diaye,26,5,0,46,4.7,7.8,0.6,0.0,0.0,,4.7,7.8,0.6,6.3,7.8,0.8,4.7,3.9,8.6,0.0,0.0,1.6,0.8,4.7,15.7
