SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1987,14,LAL,33,Kareem Abdul-Jabbar,C,7-2,225,1947-04-16,US,17,UCLA
1987,14,LAL,24,Adrian Branch,SF,6-7,185,1963-11-17,US,R,Maryland
1987,14,LAL,43,Frank Brickowski,PF,6-9,240,1959-08-14,US,2,Penn State
1987,14,LAL,21,Michael Cooper,SG,6-5,170,1956-04-15,US,8,New Mexico
1987,14,LAL,45,A.C. Green,PF,6-9,220,1963-10-04,US,1,Oregon State
1987,14,LAL,32,Magic Johnson,PG,6-9,215,1959-08-14,US,7,Michigan State
1987,14,LAL,1,Wes Matthews,PG,6-1,170,1959-08-24,US,6,Wisconsin
1987,14,LAL,31,Kurt Rambis,PF,6-8,213,1958-02-25,US,5,Santa Clara
1987,14,LAL,4,Byron Scott,SG,6-3,195,1961-03-28,US,3,Arizona State
1987,14,LAL,52,Mike Smrek,C,7-0,250,1962-08-31,CA,1,Canisius
1987,14,LAL,55,Billy Thompson,SF,6-7,195,1963-12-01,US,R,Louisville
1987,14,LAL,43,Mychal Thompson,PF,6-10,226,1955-01-30,BS,7,Minnesota
1987,14,LAL,42,James Worthy,SF,6-9,225,1961-02-27,US,4,UNC
