Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005,22.0,CHI,NBA,C,6.0,0.0,172.0,4.0,8.4,0.475,0.0,0.0,,4.0,8.4,0.475,6.7,9.6,0.696,6.1,6.1,12.1,1.7,0.2,2.7,1.7,5.7,14.7
2006,23.0,CHI,NBA,C,6.0,0.0,104.0,1.4,2.1,0.667,0.0,0.0,,1.4,2.1,0.667,1.0,3.5,0.3,2.8,6.6,9.3,1.0,0.7,0.7,2.1,10.0,3.8
2008,25.0,NOH,NBA,C,12.0,12.0,412.0,3.8,5.9,0.632,0.0,0.0,,3.8,5.9,0.632,0.9,1.4,0.625,3.9,6.8,10.7,0.4,0.4,1.7,0.9,3.8,8.4
2009,26.0,NOH,NBA,C,4.0,4.0,94.0,2.3,4.6,0.5,0.0,0.0,,2.3,4.6,0.5,1.1,2.3,0.5,3.1,5.0,8.0,0.8,0.8,0.4,3.1,6.5,5.7
2010,27.0,CHA,NBA,C,4.0,0.0,60.0,3.6,6.6,0.545,0.0,0.0,,3.6,6.6,0.545,1.2,1.8,0.667,1.8,4.2,6.0,1.2,1.2,1.8,2.4,9.6,8.4
2011,28.0,DAL,NBA,C,21.0,21.0,680.0,3.0,5.2,0.582,0.0,0.0,,3.0,5.2,0.582,2.8,4.1,0.679,4.2,6.0,10.2,0.4,0.7,1.0,0.7,4.1,8.8
2012,29.0,NYK,NBA,C,5.0,5.0,167.0,2.4,5.4,0.44,0.0,0.0,,2.4,5.4,0.44,1.9,3.2,0.6,3.9,5.8,9.7,0.9,1.5,1.5,3.2,3.9,6.7
2013,30.0,NYK,NBA,C,12.0,12.0,350.0,2.9,5.3,0.538,0.0,0.0,,2.9,5.3,0.538,1.2,1.6,0.75,4.1,4.9,9.1,0.4,0.8,1.4,1.1,4.9,7.0
2015,32.0,DAL,NBA,C,5.0,5.0,160.0,4.3,6.5,0.655,0.0,0.0,,4.3,6.5,0.655,2.9,5.9,0.5,6.1,6.1,12.2,0.2,0.7,1.4,1.1,3.6,11.5
2020,37.0,HOU,NBA,C,1.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,
