SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1994,3,NJN,7,Kenny Anderson,PG,6-0,168,1970-10-09,US,2,Georgia Tech
1994,3,NJN,22,Ron Anderson,SF,6-7,215,1958-10-15,US,9,Fresno State
1994,3,NJN,0,Benoit Benjamin,C,7-0,250,1964-11-22,US,8,Creighton
1994,3,NJN,42,P.J. Brown,C,6-11,225,1969-10-14,US,R,Louisiana Tech
1994,3,NJN,44,Derrick Coleman,PF,6-10,230,1967-06-21,US,3,Syracuse
1994,3,NJN,21,Kevin Edwards,SG,6-3,190,1965-10-30,US,5,DePaul
1994,3,NJN,43,Armen Gilliam,PF,6-9,230,1964-05-28,US,6,UNLV
1994,3,NJN,24,Dave Jamerson,SG,6-5,190,1967-08-13,US,2,Ohio University
1994,3,NJN,4,Rick Mahorn,PF,6-10,240,1958-09-21,US,12,Hampton
1994,3,NJN,34,Chris Morris,SF,6-8,210,1966-01-20,US,5,Auburn
1994,3,NJN,20,Johnny Newman,SF,6-7,190,1963-11-28,US,7,Richmond
1994,3,NJN,20,Rumeal Robinson,PG,6-2,195,1966-11-13,JM,3,Michigan
1994,3,NJN,33,Dwayne Schintzius,C,7-1,260,1968-10-14,US,3,Florida
1994,3,NJN,2,Rex Walters,SG,6-4,190,1970-03-12,US,R,"Northwestern, Kansas"
1994,3,NJN,1,David Wesley,PG,6-0,190,1970-11-14,US,R,Baylor
1994,3,NJN,55,Jayson Williams,PF,6-9,240,1968-02-22,US,3,St. John's
