Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,22.0,TOR,NBA,PF,29.0,0.0,342.0,42.0,75.0,0.56,1.0,2.0,0.5,41.0,73.0,0.562,0.567,31.0,38.0,0.816,30.0,47.0,77.0,11.0,13.0,15.0,17.0,53.0,116.0
2013-14,23.0,TOT,NBA,SF,63.0,0.0,847.0,66.0,141.0,0.468,4.0,15.0,0.267,62.0,126.0,0.492,0.482,35.0,53.0,0.66,72.0,144.0,216.0,28.0,23.0,26.0,30.0,122.0,171.0
2013-14,23.0,TOR,NBA,SF,7.0,0.0,61.0,6.0,14.0,0.429,2.0,5.0,0.4,4.0,9.0,0.444,0.5,5.0,8.0,0.625,5.0,10.0,15.0,4.0,4.0,3.0,2.0,8.0,19.0
2013-14,23.0,SAC,NBA,SF,56.0,0.0,786.0,60.0,127.0,0.472,2.0,10.0,0.2,58.0,117.0,0.496,0.48,30.0,45.0,0.667,67.0,134.0,201.0,24.0,19.0,23.0,28.0,114.0,152.0
2014-15,24.0,NYK,NBA,PF,68.0,22.0,1287.0,152.0,331.0,0.459,18.0,60.0,0.3,134.0,271.0,0.494,0.486,76.0,97.0,0.784,79.0,222.0,301.0,68.0,27.0,22.0,60.0,147.0,398.0
2015-16,25.0,SAC,NBA,PF,59.0,29.0,876.0,119.0,214.0,0.556,19.0,49.0,0.388,100.0,165.0,0.606,0.6,50.0,68.0,0.735,65.0,123.0,188.0,27.0,29.0,24.0,27.0,103.0,307.0
2016-17,26.0,TOT,NBA,PF,38.0,1.0,558.0,70.0,170.0,0.412,37.0,90.0,0.411,33.0,80.0,0.413,0.521,45.0,60.0,0.75,20.0,95.0,115.0,18.0,14.0,15.0,21.0,67.0,222.0
2016-17,26.0,DAL,NBA,PF,6.0,0.0,48.0,5.0,17.0,0.294,1.0,7.0,0.143,4.0,10.0,0.4,0.324,2.0,3.0,0.667,2.0,6.0,8.0,0.0,0.0,0.0,2.0,9.0,13.0
2016-17,26.0,BRK,NBA,PF,32.0,1.0,510.0,65.0,153.0,0.425,36.0,83.0,0.434,29.0,70.0,0.414,0.542,43.0,57.0,0.754,18.0,89.0,107.0,18.0,14.0,15.0,19.0,58.0,209.0
2017-18,27.0,BRK,NBA,PF,70.0,8.0,1359.0,130.0,365.0,0.356,102.0,292.0,0.349,28.0,73.0,0.384,0.496,49.0,60.0,0.817,40.0,217.0,257.0,57.0,33.0,29.0,60.0,149.0,411.0
2018-19,28.0,PHO,NBA,PF,10.0,0.0,123.0,4.0,18.0,0.222,2.0,15.0,0.133,2.0,3.0,0.667,0.278,7.0,10.0,0.7,3.0,22.0,25.0,8.0,1.0,4.0,4.0,24.0,17.0
