Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1994,30,520,WSB,Washington Bullets,22.0,NBA,SG,65.0,1604.0,14.0,0.51,0.03,0.23,6.3,7.6,6.9,12.9,2.0,0.4,12.3,23.4,1.0,0.2,1.2,0.04,-0.9,-1.5,-2.4,-0.2
1995,30,520,WSB,Washington Bullets,23.0,NBA,SG,78.0,2651.0,14.2,0.53,0.25,0.19,4.4,9.7,7.0,11.0,1.5,0.6,11.0,22.6,2.1,1.1,3.2,0.06,0.3,-1.3,-1.1,0.6
1996,30,520,WSB,Washington Bullets,24.0,NBA,SF,70.0,2324.0,13.0,0.53,0.17,0.24,3.5,8.5,6.1,10.6,1.5,0.6,11.4,21.7,1.5,1.7,3.2,0.06,-0.9,-1.0,-1.9,0.1
1997,30,520,WSB,Washington Bullets,25.0,NBA,SG,79.0,2411.0,11.1,0.53,0.04,0.19,3.4,9.5,6.5,7.2,1.7,0.6,10.6,16.5,1.6,2.2,3.9,0.08,-2.6,0.1,-2.5,-0.3
1998,30,520,WAS,Washington Wizards,26.0,NBA,SG,82.0,2841.0,11.7,0.49,0.05,0.22,3.2,10.0,6.5,9.8,1.8,0.9,8.8,18.4,1.6,2.5,4.1,0.07,-2.3,0.2,-2.1,0.0
1999,30,520,WAS,Washington Wizards,27.0,NBA,SG,50.0,1266.0,8.8,0.43,0.09,0.16,3.0,10.2,6.5,9.6,1.6,0.9,8.6,17.7,-0.4,0.8,0.4,0.02,-3.2,-0.2,-3.4,-0.5
2001,8,520,DEN,Denver Nuggets,29.0,NBA,SG,9.0,153.0,4.1,0.34,0.0,0.07,3.5,10.8,7.1,8.6,1.4,0.9,13.9,10.5,-0.2,0.1,-0.1,-0.04,-5.6,0.0,-5.6,-0.1
2002,8,520,DEN,Denver Nuggets,30.0,NBA,SG,68.0,1631.0,10.3,0.5,0.01,0.14,3.8,13.4,8.4,11.3,1.1,1.0,12.4,15.5,0.6,0.6,1.2,0.04,-2.8,-0.8,-3.5,-0.6
2003,29,520,UTA,Utah Jazz,31.0,NBA,SG,81.0,2351.0,9.8,0.51,0.04,0.11,3.9,10.5,7.3,11.7,1.5,0.4,13.7,15.5,1.0,1.7,2.8,0.06,-2.4,-0.3,-2.6,-0.4
2004,10,520,GSW,Golden State Warriors,32.0,NBA,SF,79.0,2067.0,10.6,0.49,0.02,0.13,4.2,10.0,7.1,11.2,1.6,0.4,12.2,15.5,1.0,1.3,2.3,0.05,-2.4,0.1,-2.3,-0.1
2005,10,520,GSW,Golden State Warriors,33.0,NBA,SG,55.0,951.0,7.8,0.44,0.01,0.14,3.5,11.0,7.1,10.5,0.9,1.1,11.1,14.7,-0.3,0.5,0.3,0.01,-3.9,-0.1,-4.0,-0.5
2006,10,520,GSW,Golden State Warriors,34.0,NBA,SF,42.0,448.0,6.0,0.41,0.07,0.07,4.9,10.5,7.6,6.6,1.5,0.3,13.2,12.8,-0.3,0.3,0.0,0.0,-4.7,-0.1,-4.8,-0.3
