Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,17,644,MIL,Milwaukee Bucks,Terry Cummings,"March 15, 1961",23.0,NBA,PF,8.0,8.0,38.9,10.8,18.6,0.58,0.0,0.1,0.0,10.8,18.5,0.58,0.58,6.0,7.3,0.83,2.6,6.1,8.8,2.5,1.5,0.9,3.3,4.1,27.5
1986,17,644,MIL,Milwaukee Bucks,Terry Cummings,"March 15, 1961",24.0,NBA,PF,14.0,14.0,36.4,9.3,18.1,0.51,0.0,0.0,,9.3,18.1,0.51,0.51,3.1,4.4,0.69,2.4,7.5,9.9,3.0,1.4,1.1,2.8,3.7,21.6
1987,17,644,MIL,Milwaukee Bucks,Terry Cummings,"March 15, 1961",25.0,NBA,PF,12.0,10.0,36.9,8.8,17.9,0.49,0.0,0.0,,8.8,17.9,0.49,0.49,4.8,6.9,0.69,2.4,5.5,7.9,2.3,1.0,1.1,1.3,4.3,22.3
1988,17,644,MIL,Milwaukee Bucks,Terry Cummings,"March 15, 1961",26.0,NBA,PF,5.0,5.0,38.6,10.0,17.8,0.56,0.0,0.0,,10.0,17.8,0.56,0.56,5.8,8.8,0.66,2.4,5.4,7.8,2.6,1.8,0.6,2.4,3.2,25.8
1989,17,644,MIL,Milwaukee Bucks,Terry Cummings,"March 15, 1961",27.0,NBA,SF,5.0,4.0,24.8,5.0,13.8,0.36,0.0,0.2,0.0,5.0,13.6,0.37,0.36,2.8,3.2,0.88,3.8,2.8,6.6,1.4,0.6,0.0,0.8,3.2,12.8
1990,27,644,SAS,San Antonio Spurs,Terry Cummings,"March 15, 1961",28.0,NBA,PF,10.0,10.0,37.5,10.3,19.5,0.53,0.1,0.5,0.2,10.2,19.0,0.54,0.53,4.2,5.2,0.81,3.1,6.3,9.4,2.2,0.7,0.4,1.9,3.9,24.9
1991,27,644,SAS,San Antonio Spurs,Terry Cummings,"March 15, 1961",29.0,NBA,PF,4.0,4.0,31.0,6.3,12.3,0.51,0.0,0.3,0.0,6.3,12.0,0.52,0.51,2.3,4.5,0.5,3.5,5.8,9.3,1.0,0.8,0.5,2.3,3.3,14.8
1992,27,644,SAS,San Antonio Spurs,Terry Cummings,"March 15, 1961",30.0,NBA,PF,3.0,3.0,40.7,11.3,22.0,0.52,0.0,0.3,0.0,11.3,21.7,0.52,0.52,3.3,6.7,0.5,5.0,6.3,11.3,2.3,1.3,1.3,2.3,3.0,26.0
1993,27,644,SAS,San Antonio Spurs,Terry Cummings,"March 15, 1961",31.0,NBA,PF,10.0,0.0,13.8,3.1,7.0,0.44,0.0,0.1,0.0,3.1,6.9,0.45,0.44,0.5,0.8,0.62,1.7,2.2,3.9,0.5,0.3,0.1,0.8,2.7,6.7
1994,27,644,SAS,San Antonio Spurs,Terry Cummings,"March 15, 1961",32.0,NBA,PF,4.0,1.0,18.0,2.8,5.5,0.5,0.0,0.0,,2.8,5.5,0.5,0.5,2.5,3.0,0.83,2.5,3.8,6.3,0.5,1.3,0.8,1.0,2.5,8.0
1995,27,644,SAS,San Antonio Spurs,Terry Cummings,"March 15, 1961",33.0,NBA,PF,15.0,2.0,9.0,1.2,3.2,0.38,0.0,0.1,0.0,1.2,3.1,0.38,0.38,1.5,2.0,0.73,0.8,1.3,2.1,0.3,0.3,0.1,0.5,1.7,3.9
1997,21,644,SEA,Seattle Supersonics,Terry Cummings,"March 15, 1961",35.0,NBA,PF,12.0,6.0,24.3,3.8,7.7,0.49,0.0,0.0,,3.8,7.7,0.49,0.49,1.3,2.0,0.67,2.3,3.7,6.0,1.2,0.9,0.5,1.2,3.3,8.8
1998,20,644,NYK,New York Knicks,Terry Cummings,"March 15, 1961",36.0,NBA,PF,8.0,1.0,15.0,1.9,4.3,0.44,0.0,0.0,,1.9,4.3,0.44,0.44,0.3,1.0,0.25,1.4,3.0,4.4,0.6,0.5,0.3,0.9,2.9,4.0
