PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Darrell Walker,23,82,2489,14.7,0.483,0.017,0.35100000000000003,5.8,7.2,6.5,23.6,3.2,0.5,15.2,22.4,,0.5,2.3,2.8,0.054000000000000006,,0.0,0.6,0.6,1.7
Louis Orr,26,79,2452,13.8,0.552,0.013000000000000001,0.436,7.9,10.7,9.2,7.6,2.0,0.7,13.1,17.7,,2.9,1.9,4.8,0.09300000000000001,,0.7,-0.4,0.3,1.4
Rory Sparrow,26,79,2292,14.3,0.539,0.047,0.213,1.9,6.8,4.3,33.6,1.7,0.2,17.2,15.8,,3.1,1.2,4.3,0.091,,0.8,-0.9,-0.1,1.1
Pat Cummings,28,63,2069,14.3,0.556,0.005,0.285,7.6,21.9,14.5,7.9,1.2,0.5,15.6,21.2,,1.3,2.0,3.3,0.077,,-0.5,-1.0,-1.5,0.3
Bernard King,28,55,2063,25.2,0.585,0.008,0.424,6.2,11.8,8.9,18.6,1.7,0.4,11.7,35.1,,5.7,1.5,7.1,0.166,,6.1,-1.0,5.1,3.6
Trent Tucker,25,77,1819,12.6,0.521,0.11900000000000001,0.079,4.6,7.5,6.0,15.5,2.0,0.5,9.3,15.7,,2.1,1.2,3.3,0.086,,0.0,0.2,0.2,1.0
Ken Bannister,24,75,1404,7.3,0.48100000000000004,0.0,0.431,8.7,18.9,13.6,3.9,1.3,1.7,21.0,19.7,,-2.2,1.4,-0.8,-0.027999999999999997,,-6.2,-0.9,-7.1,-1.8
James Bailey,27,74,1297,7.9,0.485,0.003,0.309,10.6,20.4,15.4,4.0,1.1,2.4,20.1,15.8,,-0.8,1.4,0.6,0.021,,-5.5,-0.4,-5.8,-1.3
Butch Carter,26,69,1279,11.5,0.512,0.09,0.282,3.2,5.5,4.3,18.7,2.2,0.2,16.9,20.8,,0.1,0.8,0.9,0.032,,-1.6,-0.6,-2.2,-0.1
Ernie Grunfeld,29,69,1061,14.7,0.529,0.021,0.271,4.4,12.4,8.3,14.4,2.3,0.4,8.5,18.3,,1.5,0.9,2.4,0.111,,0.3,0.8,1.1,0.8
Eddie Lee Wilkins,22,54,917,9.5,0.52,0.009000000000000001,0.524,10.6,22.9,16.6,2.4,1.1,1.1,18.3,15.8,,-0.2,1.0,0.8,0.043,,-4.0,-1.3,-5.3,-0.8
Ron Cavenall,25,53,653,4.1,0.37799999999999995,0.0,0.45299999999999996,9.2,20.7,14.7,3.5,0.9,3.9,30.4,9.4,,-1.0,0.7,-0.2,-0.016,,-6.4,0.6,-5.8,-0.6
Truck Robinson,33,2,35,7.3,0.34,0.0,0.4,19.3,10.2,14.9,10.6,2.8,5.2,46.0,12.9,,-0.1,0.0,-0.1,-0.08199999999999999,,-3.1,2.4,-0.7,0.0
