Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1999,23.0,DET,NBA,C,2.0,6.0,35.7,1.064,0.0,2.0,0.0,20.5,10.2,0.0,0.0,0.0,0.0,14.9,,0.1,0.0,0.1,0.527,,15.2,3.0,18.2,0.0
2001,25.0,DET,NBA,C,81.0,1154.0,12.9,0.552,0.004,0.485,11.0,18.4,14.7,4.6,1.1,3.7,18.5,15.0,,1.1,1.6,2.8,0.116,,-3.4,0.8,-2.6,-0.2
2002,26.0,DET,NBA,C,30.0,217.0,14.9,0.545,0.033,0.426,12.0,16.7,14.4,8.6,1.7,2.9,16.2,18.8,,0.3,0.3,0.6,0.133,,-1.9,0.6,-1.3,0.0
2003,27.0,TOT,NBA,C,8.0,43.0,17.9,0.517,0.0,0.769,16.4,5.1,10.6,12.5,0.0,6.9,10.3,20.7,,0.1,0.0,0.1,0.157,,-1.8,0.0,-1.8,0.0
2003,27.0,BOS,NBA,C,3.0,12.0,-3.1,0.0,0.0,0.0,9.2,0.0,4.7,0.0,0.0,13.1,0.0,3.9,,0.0,0.0,0.0,0.018,,-16.7,3.7,-13.0,0.0
2003,27.0,ATL,NBA,C,5.0,31.0,26.1,0.549,0.0,0.833,19.1,7.1,12.9,17.4,0.0,4.5,10.9,27.2,,0.1,0.0,0.1,0.211,,3.9,-1.5,2.5,0.0
2004,28.0,TOT,NBA,"C,PF",32.0,395.0,13.3,0.568,0.0,0.354,9.0,17.5,13.2,8.7,1.0,2.8,16.1,16.1,,0.6,0.4,1.0,0.122,,-1.6,0.6,-1.0,0.1
2004,28.0,NJN,NBA,C,4.0,10.0,-3.5,0.2,0.0,0.0,11.8,11.8,11.8,0.0,0.0,0.0,0.0,23.5,,-0.1,0.0,0.0,-0.202,,-10.7,-6.8,-17.5,0.0
2004,28.0,UTA,NBA,PF,28.0,385.0,13.7,0.585,0.0,0.372,8.9,17.7,13.2,8.9,1.0,2.9,16.7,15.9,,0.7,0.4,1.0,0.131,,-1.4,0.8,-0.6,0.1
2005,29.0,LAC,NBA,PF,74.0,1178.0,12.7,0.571,0.017,0.474,10.2,14.7,12.5,6.6,0.9,2.1,15.4,16.1,,1.6,1.0,2.6,0.106,,-1.8,-0.6,-2.4,-0.1
2006,30.0,SEA,NBA,C,47.0,583.0,8.6,0.509,0.016,0.5,9.0,18.1,13.5,6.8,0.6,2.0,20.9,14.7,,0.1,0.0,0.1,0.006,,-3.9,-1.5,-5.5,-0.5
2007,31.0,NJN,NBA,C,79.0,2082.0,14.8,0.637,0.002,0.464,8.3,14.5,11.4,6.1,1.2,2.3,15.6,16.2,,3.5,2.3,5.7,0.131,,-1.3,0.1,-1.2,0.4
2008,32.0,SAC,NBA,PF,82.0,2385.0,11.5,0.613,0.004,0.372,8.1,16.2,12.2,5.4,0.7,1.5,16.2,12.7,,3.2,1.4,4.6,0.092,,-1.8,-0.6,-2.4,-0.3
2009,33.0,TOT,NBA,"C,PF",70.0,1202.0,8.9,0.593,0.0,0.296,7.6,17.7,12.7,6.6,0.7,1.2,17.1,10.6,,1.2,0.9,2.1,0.083,,-3.6,0.0,-3.5,-0.5
2009,33.0,SAC,NBA,PF,46.0,746.0,8.6,0.574,0.0,0.347,7.0,16.9,11.9,5.6,0.9,1.4,16.2,10.0,,0.6,0.2,0.8,0.052,,-3.3,-0.6,-3.9,-0.3
2009,33.0,BOS,NBA,C,24.0,456.0,9.3,0.621,0.0,0.224,8.7,19.1,14.1,8.3,0.5,0.9,18.4,11.7,,0.6,0.7,1.3,0.135,,-3.9,0.9,-3.0,-0.1
2010,34.0,GSW,NBA,C,23.0,406.0,11.2,0.606,0.0,0.122,7.0,12.0,9.5,12.5,0.6,2.3,18.1,12.2,,0.5,0.1,0.6,0.071,,-1.6,-0.3,-1.9,0.0
2012,36.0,GSW,NBA,C,7.0,118.0,6.3,0.52,0.0,0.35,6.8,14.4,10.6,6.0,1.3,2.0,23.3,11.8,,0.0,0.1,0.1,0.022,,-6.8,-0.1,-6.9,-0.1
