Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1987,21,SEA,Seattle Supersonics,Dale Ellis,26,14,14,37.9,10.6,21.7,0.49,0.9,2.6,0.36,9.6,19.1,0.5,0.51,3.1,3.9,0.82,2.6,3.8,6.4,2.6,0.7,0.4,2.4,3.9,25.2
1987,21,SEA,Seattle Supersonics,Xavier McDaniel,23,14,14,37.7,8.9,18.1,0.49,0.1,0.7,0.2,8.7,17.4,0.5,0.49,2.4,4.0,0.61,3.7,4.6,8.4,3.0,1.5,0.6,3.0,4.5,20.3
1987,21,SEA,Seattle Supersonics,Tom Chambers,27,14,14,35.6,8.4,18.8,0.45,0.4,1.3,0.33,8.0,17.5,0.46,0.46,5.7,7.1,0.81,2.3,4.1,6.4,2.3,0.9,0.9,2.4,3.6,23.0
1987,21,SEA,Seattle Supersonics,Nate McMillan,22,14,14,25.4,1.9,4.4,0.44,0.0,0.0,,1.9,4.4,0.44,0.44,1.2,1.7,0.71,0.9,2.9,3.9,8.0,1.0,0.7,1.9,3.0,5.1
1987,21,SEA,Seattle Supersonics,Alton Lister,28,9,7,22.9,2.2,5.6,0.4,0.0,0.0,,2.2,5.6,0.4,0.4,1.6,2.2,0.7,3.2,3.0,6.2,0.8,0.8,1.4,1.1,4.1,6.0
1987,21,SEA,Seattle Supersonics,Maurice Lucas,34,14,0,18.9,2.5,6.4,0.39,0.0,0.1,0.0,2.5,6.4,0.39,0.39,2.0,2.7,0.74,1.4,3.3,4.6,1.4,0.9,0.4,1.3,3.1,7.0
1987,21,SEA,Seattle Supersonics,Clemon Johnson,30,14,7,18.7,1.7,3.8,0.45,0.0,0.0,,1.7,3.8,0.45,0.45,0.9,1.4,0.63,1.8,1.7,3.5,0.3,0.5,1.1,0.1,1.3,4.3
1987,21,SEA,Seattle Supersonics,Kevin Williams,25,14,0,18.2,3.2,6.7,0.48,0.0,0.1,0.0,3.2,6.6,0.49,0.48,2.1,2.9,0.75,1.4,1.1,2.4,2.1,1.1,0.1,0.7,3.1,8.6
1987,21,SEA,Seattle Supersonics,Danny Young,24,14,0,14.9,1.5,3.7,0.4,0.4,1.1,0.31,1.1,2.6,0.44,0.45,0.7,0.7,1.0,0.3,0.9,1.1,3.4,1.1,0.0,0.5,1.5,4.1
1987,21,SEA,Seattle Supersonics,Eddie Johnson,31,14,0,12.9,2.2,4.1,0.53,0.1,0.4,0.4,2.1,3.8,0.55,0.55,1.9,2.1,0.87,0.4,0.6,1.0,3.2,0.4,0.0,0.6,1.1,6.4
1987,21,SEA,Seattle Supersonics,Russ Schoene,26,14,0,8.8,0.7,2.0,0.36,0.1,0.4,0.33,0.6,1.6,0.36,0.39,0.6,0.9,0.75,0.4,1.4,1.9,0.2,0.1,0.3,0.1,1.1,2.2
1987,21,SEA,Seattle Supersonics,Curtis Kitchen,23,8,0,2.9,0.1,0.3,0.5,0.0,0.0,,0.1,0.3,0.5,0.5,0.0,0.5,0.0,0.3,0.5,0.8,0.0,0.0,0.3,0.0,0.9,0.3
