Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23.0,IND,NBA,SF,6.0,0.0,26.0,2.0,9.0,0.222,1.0,4.0,0.25,1.0,5.0,0.2,0.278,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,7.0
2004-05,24.0,IND,NBA,SF,75.0,24.0,1330.0,126.0,318.0,0.396,66.0,166.0,0.398,60.0,152.0,0.395,0.5,53.0,62.0,0.855,39.0,135.0,174.0,57.0,31.0,28.0,43.0,123.0,371.0
2005-06,25.0,PHO,NBA,SF,75.0,24.0,1772.0,243.0,581.0,0.418,110.0,285.0,0.386,133.0,296.0,0.449,0.513,103.0,121.0,0.851,44.0,209.0,253.0,57.0,38.0,49.0,35.0,142.0,699.0
2006-07,26.0,PHO,NBA,SF,76.0,7.0,1376.0,162.0,440.0,0.368,90.0,238.0,0.378,72.0,202.0,0.356,0.47,71.0,81.0,0.877,33.0,143.0,176.0,45.0,28.0,42.0,28.0,115.0,485.0
2007-08,27.0,POR,NBA,SF,58.0,3.0,1276.0,143.0,327.0,0.437,91.0,205.0,0.444,52.0,122.0,0.426,0.576,86.0,98.0,0.878,43.0,118.0,161.0,34.0,24.0,15.0,28.0,96.0,463.0
2008-09,28.0,MIA,NBA,SF,40.0,1.0,630.0,55.0,149.0,0.369,33.0,96.0,0.344,22.0,53.0,0.415,0.48,26.0,31.0,0.839,12.0,50.0,62.0,20.0,12.0,14.0,12.0,58.0,169.0
2009-10,29.0,MIA,NBA,SF,36.0,6.0,503.0,43.0,119.0,0.361,37.0,90.0,0.411,6.0,29.0,0.207,0.517,23.0,28.0,0.821,4.0,41.0,45.0,17.0,11.0,4.0,11.0,45.0,146.0
2010-11,30.0,MIA,NBA,SF,81.0,8.0,1549.0,146.0,346.0,0.422,123.0,287.0,0.429,23.0,59.0,0.39,0.6,60.0,72.0,0.833,23.0,137.0,160.0,43.0,29.0,19.0,21.0,129.0,475.0
2011-12,31.0,MIA,NBA,SG,51.0,10.0,666.0,57.0,150.0,0.38,46.0,114.0,0.404,11.0,36.0,0.306,0.533,25.0,30.0,0.833,6.0,43.0,49.0,19.0,17.0,9.0,10.0,45.0,185.0
2012-13,32.0,MIA,NBA,SF,38.0,0.0,221.0,21.0,61.0,0.344,16.0,53.0,0.302,5.0,8.0,0.625,0.475,2.0,4.0,0.5,0.0,22.0,22.0,13.0,2.0,6.0,3.0,16.0,60.0
2013-14,33.0,MIA,NBA,SF,20.0,6.0,236.0,31.0,68.0,0.456,28.0,54.0,0.519,3.0,14.0,0.214,0.662,7.0,11.0,0.636,2.0,21.0,23.0,9.0,3.0,4.0,4.0,6.0,97.0
2014-15,34.0,CLE,NBA,SF,57.0,2.0,669.0,74.0,201.0,0.368,63.0,175.0,0.36,11.0,26.0,0.423,0.525,39.0,46.0,0.848,9.0,53.0,62.0,24.0,13.0,8.0,13.0,67.0,250.0
2015-16,35.0,CLE,NBA,SF,48.0,0.0,463.0,58.0,142.0,0.408,41.0,104.0,0.394,17.0,38.0,0.447,0.553,21.0,26.0,0.808,8.0,42.0,50.0,14.0,11.0,10.0,13.0,50.0,178.0
2016-17,36.0,CLE,NBA,SF,48.0,2.0,381.0,44.0,92.0,0.478,31.0,66.0,0.47,13.0,26.0,0.5,0.647,13.0,20.0,0.65,3.0,34.0,37.0,14.0,6.0,10.0,10.0,37.0,132.0
