PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Pascal Siakam,24,80,79,2548,7.3,13.4,0.5489999999999999,1.1,3.0,0.369,6.2,10.3,0.602,3.3,4.3,0.785,1.8,6.0,7.8,3.5,1.0,0.7,2.2,3.4,19.1
Danny Green,31,80,80,2216,4.8,10.2,0.465,3.2,7.1,0.455,1.5,3.2,0.48700000000000004,0.6,0.7,0.841,1.0,4.2,5.1,2.0,1.2,0.9,1.2,2.8,13.3
Kyle Lowry,32,65,65,2213,4.9,12.0,0.41100000000000003,2.6,7.4,0.34700000000000003,2.4,4.7,0.514,2.6,3.2,0.83,0.7,4.4,5.1,9.2,1.5,0.5,3.0,2.7,15.1
Kawhi Leonard,27,60,60,2040,9.9,19.9,0.496,2.0,5.3,0.371,7.9,14.6,0.542,6.4,7.5,0.8540000000000001,1.4,6.4,7.7,3.5,1.9,0.4,2.1,1.5,28.2
Serge Ibaka,29,74,51,2010,8.3,15.7,0.529,0.9,3.0,0.29,7.4,12.7,0.586,2.4,3.2,0.763,2.8,8.0,10.8,1.8,0.5,1.8,2.0,3.8,19.9
Fred VanVleet,24,64,28,1760,5.0,12.3,0.41,2.3,6.1,0.37799999999999995,2.7,6.2,0.441,2.0,2.4,0.843,0.4,3.0,3.4,6.3,1.2,0.4,1.7,2.3,14.3
OG Anunoby,21,67,6,1352,4.9,10.8,0.45299999999999996,1.8,5.4,0.332,3.1,5.4,0.574,1.0,1.7,0.581,1.5,3.7,5.2,1.3,1.2,0.6,1.5,3.7,12.5
Norman Powell,25,60,3,1126,6.2,12.8,0.483,2.2,5.4,0.4,4.0,7.4,0.5429999999999999,2.0,2.4,0.8270000000000001,0.5,3.9,4.4,2.9,1.2,0.4,2.1,3.1,16.5
Delon Wright,26,49,2,897,5.1,11.8,0.433,1.2,3.6,0.33299999999999996,3.9,8.1,0.478,2.1,2.4,0.8690000000000001,1.6,3.5,5.0,4.4,1.8,0.6,1.5,2.1,13.5
Marc Gasol,34,26,19,648,4.8,10.4,0.465,1.3,2.9,0.442,3.6,7.5,0.474,2.2,2.9,0.769,1.3,8.2,9.6,5.6,1.3,1.3,2.0,3.9,13.2
Jonas Valančiūnas,26,30,10,564,9.5,16.5,0.575,0.6,1.9,0.3,8.9,14.6,0.611,4.9,6.0,0.8190000000000001,3.4,10.3,13.8,1.9,0.8,1.5,2.5,5.2,24.5
C.J. Miles,31,40,1,562,4.5,13.2,0.34,2.8,8.8,0.314,1.7,4.4,0.391,2.2,2.8,0.795,0.8,3.6,4.4,1.4,1.2,0.6,1.3,4.0,14.0
Jeremy Lin,30,23,3,433,4.8,12.9,0.374,0.9,4.6,0.2,3.9,8.3,0.47,2.8,3.5,0.81,0.5,4.5,5.0,4.2,0.7,0.5,2.2,4.0,13.4
Greg Monroe,28,38,2,423,6.3,13.7,0.46,0.0,0.3,0.0,6.3,13.4,0.47100000000000003,3.0,5.2,0.574,5.1,8.2,13.3,1.4,1.1,0.7,2.6,5.2,15.6
Patrick McCaw,23,26,1,344,2.5,5.7,0.444,0.8,2.5,0.33299999999999996,1.7,3.1,0.5329999999999999,1.4,1.6,0.867,0.7,4.0,4.7,2.8,2.2,0.2,1.5,3.9,7.2
Lorenzo Brown,28,26,0,212,3.9,12.1,0.324,1.0,4.8,0.214,2.9,7.3,0.395,0.5,0.5,1.0,0.8,4.4,5.3,4.8,2.0,0.8,2.7,3.7,9.3
Chris Boucher,26,28,0,163,7.5,16.8,0.447,2.7,8.2,0.324,4.9,8.6,0.564,2.9,3.3,0.867,3.5,8.8,12.4,0.4,1.3,5.3,1.5,6.8,20.5
Jodie Meeks,31,8,0,104,7.3,13.5,0.5379999999999999,2.8,6.2,0.444,4.5,7.3,0.619,0.3,0.3,1.0,0.3,3.8,4.2,2.8,0.3,0.3,0.7,1.7,17.7
Malachi Richardson,23,22,0,103,3.1,10.1,0.31,2.8,8.7,0.32,0.3,1.4,0.25,1.4,1.7,0.8,0.7,3.8,4.5,0.0,0.3,0.0,2.8,4.5,10.5
Malcolm Miller,25,10,0,67,5.9,14.0,0.423,5.4,11.3,0.47600000000000003,0.5,2.7,0.2,1.6,2.1,0.75,0.5,2.1,2.7,0.5,0.5,0.5,0.5,2.7,18.8
Jordan Loyd,25,12,0,55,5.2,11.8,0.444,2.6,5.2,0.5,2.6,6.5,0.4,5.9,7.2,0.818,0.7,5.2,5.9,3.9,0.0,0.0,1.3,3.3,19.0
Eric Moreland,27,4,0,38,2.8,6.6,0.429,0.9,0.9,1.0,1.9,5.7,0.33299999999999996,0.0,0.0,,3.8,12.3,16.1,3.8,0.9,0.9,4.7,7.6,6.6
