Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1980,22.0,CHI,NBA,PF,82.0,2791.0,16.2,0.541,0.007,0.396,9.2,21.6,15.6,9.8,1.0,2.6,14.5,21.1,,3.5,3.1,6.5,0.112,,-0.1,-0.2,-0.3,1.2
1981,23.0,CHI,NBA,PF,82.0,2710.0,16.6,0.528,0.002,0.293,10.7,19.4,15.2,11.6,1.4,2.6,14.7,19.7,,3.8,3.4,7.1,0.126,,0.8,0.4,1.2,2.2
1982,24.0,CHI,NBA,PF,82.0,2914.0,15.5,0.525,0.003,0.287,7.8,22.2,15.3,13.2,1.2,1.8,13.6,19.0,,3.2,3.2,6.5,0.107,,0.1,0.5,0.6,1.9
1983,25.0,CHI,NBA,PF,79.0,2355.0,13.0,0.5,0.006,0.34,9.9,24.9,17.4,8.5,1.0,2.0,16.3,15.5,,1.3,2.3,3.6,0.073,,-1.0,-0.1,-1.1,0.5
1984,26.0,CHI,NBA,PF,78.0,2718.0,13.5,0.54,0.001,0.384,8.9,24.6,16.6,7.4,1.2,1.5,14.5,15.7,,2.1,3.6,5.7,0.101,,-0.8,0.2,-0.6,0.9
1985,27.0,CHI,NBA,PF,61.0,1523.0,9.4,0.497,0.003,0.283,8.4,20.8,14.8,6.6,1.1,0.7,14.4,12.0,,0.6,1.4,2.0,0.065,,-2.3,-0.3,-2.5,-0.2
1986,28.0,SAS,NBA,PF,68.0,1910.0,11.1,0.574,0.003,0.474,9.3,22.1,15.9,5.9,0.9,1.5,19.4,12.3,,1.5,1.9,3.4,0.085,,-1.4,-0.1,-1.6,0.2
1987,29.0,SAS,NBA,PF,79.0,2587.0,15.2,0.58,0.009,0.469,10.5,23.4,16.7,12.0,1.3,1.1,16.9,14.8,,3.8,2.4,6.2,0.115,,0.0,0.0,0.0,1.3
1988,30.0,SAS,NBA,PF,45.0,1236.0,10.8,0.511,0.006,0.338,8.0,18.4,13.1,9.6,1.2,1.0,16.4,14.4,,0.5,0.6,1.1,0.043,,-2.1,-1.0,-3.1,-0.3
1989,31.0,TOT,NBA,PF,67.0,1403.0,11.8,0.493,0.0,0.446,10.2,21.0,15.3,8.6,1.5,2.1,16.2,15.5,,0.5,1.8,2.2,0.076,,-2.6,0.0,-2.5,-0.2
1989,31.0,SAS,NBA,PF,38.0,912.0,11.3,0.501,0.0,0.425,10.6,18.4,14.3,7.9,1.5,1.6,15.8,14.8,,0.5,1.0,1.4,0.075,,-2.4,-0.3,-2.7,-0.2
1989,31.0,DEN,NBA,PF,29.0,491.0,12.7,0.48,0.0,0.48,9.6,25.7,17.2,10.0,1.5,3.2,16.7,16.8,,0.0,0.8,0.8,0.077,,-2.9,0.6,-2.3,0.0
1990,32.0,DET,NBA,PF,37.0,205.0,10.9,0.463,0.0,0.558,13.4,29.8,21.6,8.0,1.0,2.8,19.8,17.0,,-0.1,0.5,0.4,0.085,,-4.6,1.6,-3.0,0.0
1991,33.0,SAS,NBA,PF,63.0,1018.0,7.8,0.568,0.012,0.556,7.0,16.5,12.0,6.6,1.4,1.5,25.2,11.5,,0.0,1.6,1.7,0.079,,-4.1,1.6,-2.5,-0.1
