PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Larry Hughes,21,32,32,40.8,8.3,21.4,0.389,0.6,2.3,0.243,7.8,19.1,0.40700000000000003,0.402,5.4,7.3,0.736,1.9,4.0,5.9,4.1,1.9,0.5,3.1,3.0,22.7
Antawn Jamison,23,43,41,36.2,8.3,17.6,0.47100000000000003,0.0,0.2,0.28600000000000003,8.2,17.4,0.473,0.47200000000000003,3.0,4.8,0.611,4.0,4.3,8.3,2.1,0.7,0.3,2.6,2.7,19.6
Mookie Blaylock,32,73,72,33.7,4.5,11.5,0.391,1.4,4.1,0.336,3.1,7.3,0.42200000000000004,0.451,0.9,1.3,0.705,0.8,2.9,3.7,6.7,2.0,0.3,2.0,1.7,11.3
John Starks,34,33,30,33.6,5.8,15.4,0.37799999999999995,1.7,4.9,0.348,4.1,10.5,0.392,0.433,1.4,1.6,0.833,0.3,2.5,2.8,5.2,1.1,0.1,1.9,2.8,14.7
Chris Mills,30,20,11,32.5,6.2,14.6,0.42100000000000004,0.4,1.5,0.267,5.8,13.1,0.439,0.435,3.4,4.2,0.81,2.3,3.9,6.2,2.4,0.9,0.2,1.3,3.0,16.1
Donyell Marshall,26,64,51,32.4,5.2,13.1,0.39399999999999996,0.8,2.2,0.355,4.4,11.0,0.402,0.423,3.1,4.0,0.78,3.0,7.0,10.0,2.6,1.1,1.1,1.9,2.8,14.2
Jason Caffey,26,71,56,30.4,4.5,9.5,0.479,0.0,0.0,0.0,4.5,9.5,0.48,0.479,2.9,4.9,0.597,2.7,4.1,6.8,1.7,0.9,0.3,2.4,3.8,12.0
Billy Owens,30,16,4,24.1,2.4,6.3,0.38,0.1,0.4,0.28600000000000003,2.3,5.8,0.387,0.39,1.6,2.6,0.595,2.3,4.6,6.8,2.4,0.4,0.3,1.5,2.9,6.4
Vonteego Cummings,23,75,11,23.9,3.5,8.7,0.405,0.7,2.0,0.325,2.9,6.7,0.429,0.442,1.7,2.3,0.7509999999999999,0.8,1.7,2.5,3.3,1.2,0.2,1.8,2.3,9.4
Erick Dampier,24,21,12,23.6,3.3,8.2,0.405,0.0,0.0,,3.3,8.2,0.405,0.405,1.3,2.4,0.529,2.3,4.1,6.4,0.9,0.4,0.7,1.4,3.6,8.0
Adonal Foyle,24,76,59,21.8,2.5,5.0,0.508,0.0,0.0,,2.5,5.0,0.508,0.508,0.4,1.2,0.37799999999999995,2.3,3.3,5.6,0.6,0.3,1.8,0.9,2.9,5.5
Mark Davis,26,23,7,20.2,2.4,6.0,0.409,0.0,0.1,0.0,2.4,5.9,0.415,0.409,1.3,2.0,0.66,1.3,2.3,3.7,1.7,1.1,0.2,1.7,2.3,6.2
Terry Cummings,38,22,0,18.1,3.5,8.0,0.429,0.0,0.0,,3.5,8.0,0.429,0.429,1.5,1.8,0.821,2.0,2.8,4.9,1.0,0.6,0.4,1.2,3.4,8.4
Tony Farmer,30,74,9,16.2,1.7,4.2,0.40700000000000003,0.1,0.6,0.182,1.6,3.6,0.444,0.42,2.7,3.6,0.7659999999999999,1.6,2.4,4.0,1.0,0.9,0.2,1.1,2.3,6.3
Damon Jones,23,13,1,15.1,1.9,4.2,0.46299999999999997,0.8,1.8,0.478,1.1,2.4,0.452,0.565,0.5,0.7,0.778,0.0,1.2,1.2,3.0,0.5,0.0,1.2,1.0,5.2
Sam Mack,29,23,5,14.5,1.6,5.3,0.303,0.9,2.8,0.32799999999999996,0.7,2.5,0.276,0.389,0.8,0.9,0.95,0.3,1.4,1.7,1.0,0.8,0.0,0.8,2.0,5.0
Sam Jacobson,24,49,5,13.5,2.1,4.1,0.507,0.2,0.5,0.375,1.9,3.7,0.525,0.53,0.6,0.8,0.769,0.5,0.9,1.4,0.6,0.6,0.1,0.6,2.3,5.0
Tim Legler,33,23,4,12.3,1.2,3.4,0.359,0.3,0.9,0.33299999999999996,0.9,2.5,0.368,0.40399999999999997,0.6,0.8,0.778,0.2,0.8,1.0,1.0,0.2,0.0,0.3,1.4,3.3
Bill Curley,27,24,0,10.8,1.0,2.4,0.40399999999999997,0.0,0.0,0.0,1.0,2.3,0.41100000000000003,0.40399999999999997,0.8,1.0,0.72,0.6,1.2,1.8,0.6,0.5,0.2,0.7,2.1,2.7
Drew Barry,26,8,0,10.6,1.1,2.3,0.5,0.4,1.1,0.33299999999999996,0.8,1.1,0.667,0.583,0.1,0.3,0.5,0.0,1.0,1.0,2.1,0.3,0.0,0.8,1.8,2.8
Chris Carr,25,7,0,10.6,1.6,4.7,0.33299999999999996,0.1,1.1,0.125,1.4,3.6,0.4,0.348,2.3,2.7,0.8420000000000001,0.7,1.1,1.9,0.4,0.0,0.1,0.7,1.7,5.6
Jamel Thomas,26,4,0,6.8,0.8,2.0,0.375,0.0,0.5,0.0,0.8,1.5,0.5,0.375,0.0,0.0,,0.3,0.5,0.8,1.0,0.3,0.0,1.0,0.5,1.5
Tim Young,23,25,0,5.5,0.5,1.6,0.33299999999999996,0.0,0.0,,0.5,1.6,0.33299999999999996,0.33299999999999996,1.1,1.4,0.778,0.5,0.9,1.4,0.2,0.1,0.0,0.4,0.7,2.2
