Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2010,23,1308,PHI,Philadelphia 76Ers,19.0,NBA,PG,73.0,51.0,1767.0,6.8,15.4,0.44,1.8,4.7,0.39,5.0,10.7,0.46,1.9,2.6,0.76,1.7,4.0,5.7,8.3,2.3,0.5,4.6,4.5,17.4,,100.0,111.0
2011,23,1308,PHI,Philadelphia 76Ers,20.0,NBA,PG,82.0,82.0,2901.0,8.0,18.0,0.45,1.5,4.0,0.36,6.6,14.0,0.47,3.1,3.8,0.82,1.2,4.8,6.0,9.6,2.2,0.5,3.9,3.7,20.7,,104.0,106.0
2012,23,1308,PHI,Philadelphia 76Ers,21.0,NBA,PG,65.0,65.0,2196.0,8.8,20.3,0.43,1.6,4.2,0.38,7.2,16.2,0.44,2.3,2.9,0.78,1.4,3.8,5.2,7.1,2.5,0.4,3.3,3.3,21.4,,99.0,101.0
2013,23,1308,PHI,Philadelphia 76Ers,22.0,NBA,PG,78.0,78.0,2926.0,10.0,23.2,0.43,1.6,4.5,0.37,8.4,18.8,0.45,3.3,4.4,0.75,1.6,4.3,5.9,11.3,2.2,0.6,5.3,3.1,24.9,,99.0,107.0
2014,19,1308,NOP,New Orleans Pelicans,23.0,NBA,PG,34.0,34.0,1143.0,9.2,20.7,0.45,1.4,3.5,0.39,7.9,17.2,0.46,2.3,2.9,0.81,1.3,5.2,6.5,12.2,2.6,0.5,4.8,4.2,22.2,,103.0,110.0
2015,19,1308,NOP,New Orleans Pelicans,24.0,NBA,PG,40.0,37.0,1303.0,9.6,21.5,0.45,2.1,5.4,0.38,7.5,16.1,0.47,2.6,3.1,0.86,1.3,4.2,5.4,11.0,2.5,0.9,3.7,4.4,23.9,,109.0,107.0
2016,19,1308,NOP,New Orleans Pelicans,25.0,NBA,PG,65.0,23.0,1831.0,11.1,25.3,0.44,2.4,7.0,0.34,8.7,18.3,0.48,4.9,5.9,0.84,0.7,4.6,5.3,10.6,2.4,0.6,4.5,4.0,29.5,,105.0,109.0
2017,19,1308,NOP,New Orleans Pelicans,26.0,NBA,PG,67.0,61.0,2190.0,9.1,20.0,0.45,2.2,6.3,0.36,6.8,13.7,0.5,2.7,3.8,0.71,1.0,4.9,5.9,10.9,2.2,1.0,4.3,3.0,23.0,,104.0,108.0
2018,19,1308,NOP,New Orleans Pelicans,27.0,NBA,SG,81.0,81.0,2927.0,10.0,20.3,0.49,2.0,5.8,0.34,8.1,14.5,0.56,3.0,3.9,0.79,1.0,4.9,6.0,7.9,2.0,1.0,3.5,3.3,25.1,,110.0,109.0
2019,19,1308,NOP,New Orleans Pelicans,28.0,NBA,SG,67.0,67.0,2402.0,10.6,22.4,0.47,2.3,7.0,0.32,8.3,15.4,0.54,4.0,5.2,0.77,1.5,5.0,6.5,10.0,2.1,1.0,4.1,2.9,27.5,,111.0,112.0
2020,19,1308,NOP,New Orleans Pelicans,29.0,NBA,SG,61.0,61.0,2117.0,10.0,22.0,0.46,2.7,7.6,0.35,7.3,14.4,0.51,2.8,4.0,0.71,1.7,4.7,6.4,8.9,2.2,1.0,4.0,3.2,25.5,,108.0,112.0
2021,17,1308,MIL,Milwaukee Bucks,30.0,NBA,PG,21.0,21.0,692.0,9.1,18.8,0.49,2.7,7.2,0.38,6.4,11.6,0.55,2.2,2.7,0.82,1.8,5.3,7.1,7.4,2.8,0.9,2.3,2.4,23.1,,122.0,109.0
