Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1985,21.0,PHI,NBA,PF,82.0,60.0,2347.0,8.7,15.9,0.545,0.0,0.1,0.167,8.6,15.8,0.548,5.9,8.1,0.733,5.4,8.9,14.3,3.1,1.9,1.6,4.2,6.1,23.3,,114.0,105.0
1986,22.0,PHI,NBA,PF,80.0,80.0,2952.0,9.6,16.8,0.572,0.3,1.2,0.227,9.4,15.6,0.598,6.4,9.4,0.685,5.7,10.9,16.6,5.0,2.8,2.0,5.7,5.4,25.9,,111.0,100.0
1987,23.0,PHI,NBA,PF,68.0,62.0,2740.0,10.0,16.9,0.594,0.4,1.9,0.202,9.7,15.0,0.643,7.7,10.2,0.761,7.0,10.9,17.9,6.0,2.1,1.9,5.8,4.5,28.2,,119.0,104.0
1988,24.0,PHI,NBA,PF,80.0,80.0,3170.0,11.9,20.2,0.587,0.7,2.5,0.28,11.2,17.8,0.63,11.3,15.0,0.751,6.1,8.9,15.0,4.0,1.6,1.6,4.8,4.4,35.7,,126.0,108.0
1989,25.0,PHI,NBA,PF,79.0,79.0,3088.0,11.0,19.1,0.579,0.6,2.6,0.216,10.5,16.5,0.636,9.5,12.6,0.753,6.4,9.2,15.6,5.1,2.0,1.1,4.0,4.1,32.1,,127.0,108.0
1990,26.0,PHI,NBA,SF,79.0,79.0,3085.0,11.4,19.0,0.6,0.3,1.5,0.217,11.1,17.5,0.632,9.0,12.0,0.749,5.8,8.8,14.7,4.9,2.4,0.8,3.9,4.0,32.1,,128.0,105.0
1991,27.0,PHI,NBA,SF,67.0,67.0,2498.0,13.4,23.4,0.57,0.9,3.1,0.284,12.5,20.3,0.614,9.5,13.2,0.722,5.2,8.5,13.7,5.7,2.2,0.7,4.2,3.5,37.1,,123.0,106.0
1992,28.0,PHI,NBA,SF,75.0,75.0,2881.0,11.1,20.0,0.552,0.6,2.4,0.234,10.5,17.6,0.597,8.1,11.6,0.695,4.8,9.9,14.8,5.5,2.4,0.8,4.2,3.5,30.8,,119.0,106.0
1993,29.0,PHO,NBA,PF,76.0,76.0,2859.0,12.0,23.1,0.52,1.1,3.7,0.305,10.9,19.4,0.561,7.5,9.8,0.765,4.0,11.6,15.6,6.5,2.0,1.2,3.9,3.3,32.7,,120.0,103.0
1994,30.0,PHO,NBA,PF,65.0,65.0,2298.0,11.2,22.6,0.495,1.0,3.8,0.27,10.1,18.7,0.541,6.9,9.8,0.704,4.3,11.4,15.7,6.4,2.2,0.8,4.4,3.5,30.3,,113.0,103.0
1995,31.0,PHO,NBA,PF,68.0,66.0,2382.0,11.6,24.0,0.486,1.6,4.6,0.338,10.1,19.4,0.521,8.0,10.6,0.748,4.3,11.6,15.9,5.8,2.3,0.9,3.2,4.2,32.8,,119.0,105.0
1996,32.0,PHO,NBA,PF,71.0,71.0,2632.0,11.3,22.7,0.5,1.0,3.4,0.28,10.4,19.3,0.539,8.6,11.1,0.777,4.8,11.3,16.1,5.1,2.2,1.1,4.3,4.1,32.3,,115.0,105.0
1997,33.0,HOU,NBA,PF,53.0,53.0,2009.0,8.7,18.0,0.484,1.5,5.3,0.283,7.2,12.7,0.569,7.5,10.8,0.694,5.5,13.1,18.7,6.5,1.8,0.7,3.9,4.0,26.5,,117.0,100.0
1998,34.0,HOU,NBA,PF,68.0,41.0,2243.0,8.5,17.5,0.485,0.4,2.0,0.214,8.1,15.5,0.52,7.0,9.3,0.746,5.7,13.0,18.7,5.1,1.7,0.7,3.5,4.4,24.4,,116.0,104.0
1999,35.0,HOU,NBA,PF,42.0,40.0,1526.0,8.5,17.8,0.478,0.1,0.9,0.16,8.4,16.9,0.495,6.8,9.5,0.719,5.9,12.4,18.3,6.8,1.5,0.5,3.5,3.2,23.9,,115.0,100.0
