Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1988,22.0,CHI,NBA,SF,79.0,0.0,1650.0,261.0,564.0,0.463,4.0,23.0,0.174,257.0,541.0,0.475,0.466,99.0,172.0,0.576,115.0,183.0,298.0,169.0,91.0,52.0,131.0,214.0,625.0,,0.0
1989,23.0,CHI,NBA,SF,73.0,56.0,2413.0,413.0,867.0,0.476,21.0,77.0,0.273,392.0,790.0,0.496,0.488,201.0,301.0,0.668,138.0,307.0,445.0,256.0,139.0,61.0,199.0,261.0,1048.0,,1.0
1990,24.0,CHI,NBA,SF,82.0,82.0,3148.0,562.0,1150.0,0.489,28.0,112.0,0.25,534.0,1038.0,0.514,0.501,199.0,295.0,0.675,150.0,397.0,547.0,444.0,211.0,101.0,278.0,298.0,1351.0,,0.0
1991,25.0,CHI,NBA,SF,82.0,82.0,3014.0,600.0,1153.0,0.52,21.0,68.0,0.309,579.0,1085.0,0.534,0.529,240.0,340.0,0.706,163.0,432.0,595.0,511.0,193.0,93.0,232.0,270.0,1461.0,,3.0
1992,26.0,CHI,NBA,SF,82.0,82.0,3164.0,687.0,1359.0,0.506,16.0,80.0,0.2,671.0,1279.0,0.525,0.511,330.0,434.0,0.76,185.0,445.0,630.0,572.0,155.0,93.0,253.0,242.0,1720.0,,2.0
1993,27.0,CHI,NBA,SF,81.0,81.0,3123.0,628.0,1327.0,0.473,22.0,93.0,0.237,606.0,1234.0,0.491,0.482,232.0,350.0,0.663,203.0,418.0,621.0,507.0,173.0,73.0,246.0,219.0,1510.0,,4.0
1994,28.0,CHI,NBA,SF,72.0,72.0,2759.0,627.0,1278.0,0.491,63.0,197.0,0.32,564.0,1081.0,0.522,0.515,270.0,409.0,0.66,173.0,456.0,629.0,403.0,211.0,58.0,232.0,227.0,1587.0,,2.0
1995,29.0,CHI,NBA,SF,79.0,79.0,3014.0,634.0,1320.0,0.48,109.0,316.0,0.345,525.0,1004.0,0.523,0.522,315.0,440.0,0.716,175.0,464.0,639.0,409.0,232.0,89.0,271.0,238.0,1692.0,,1.0
1996,30.0,CHI,NBA,SF,77.0,77.0,2825.0,563.0,1216.0,0.463,150.0,401.0,0.374,413.0,815.0,0.507,0.525,220.0,324.0,0.679,152.0,344.0,496.0,452.0,133.0,57.0,207.0,198.0,1496.0,,2.0
1997,31.0,CHI,NBA,SF,82.0,82.0,3095.0,648.0,1366.0,0.474,156.0,424.0,0.368,492.0,942.0,0.522,0.531,204.0,291.0,0.701,160.0,371.0,531.0,467.0,154.0,45.0,214.0,213.0,1656.0,,0.0
1998,32.0,CHI,NBA,SF,44.0,44.0,1652.0,315.0,704.0,0.447,61.0,192.0,0.318,254.0,512.0,0.496,0.491,150.0,193.0,0.777,53.0,174.0,227.0,254.0,79.0,43.0,109.0,116.0,841.0,,0.0
1999,33.0,HOU,NBA,SF,50.0,50.0,2011.0,261.0,604.0,0.432,72.0,212.0,0.34,189.0,392.0,0.482,0.492,132.0,183.0,0.721,63.0,260.0,323.0,293.0,98.0,37.0,159.0,118.0,726.0,,2.0
2001,35.0,POR,NBA,SF,64.0,60.0,2133.0,269.0,596.0,0.451,64.0,186.0,0.344,205.0,410.0,0.5,0.505,119.0,161.0,0.739,70.0,263.0,333.0,294.0,94.0,35.0,154.0,158.0,721.0,,0.0
2002,36.0,POR,NBA,SF,62.0,60.0,1996.0,246.0,599.0,0.411,54.0,177.0,0.305,192.0,422.0,0.455,0.456,113.0,146.0,0.774,77.0,244.0,321.0,363.0,101.0,35.0,171.0,162.0,659.0,,0.0
2003,37.0,POR,NBA,SF,64.0,58.0,1911.0,265.0,597.0,0.444,38.0,133.0,0.286,227.0,464.0,0.489,0.476,121.0,148.0,0.818,57.0,221.0,278.0,285.0,105.0,25.0,164.0,149.0,689.0,,0.0
2004,38.0,CHI,NBA,SF,23.0,6.0,412.0,53.0,140.0,0.379,13.0,48.0,0.271,40.0,92.0,0.435,0.425,17.0,27.0,0.63,20.0,48.0,68.0,50.0,21.0,9.0,29.0,38.0,136.0,,0.0
