Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2009,30,104,WAS,Washington Wizards,0,Gilbert Arenas,PG,6-3,191,1982-01-06,US,7,Arizona
2009,30,265,WAS,Washington Wizards,32,Andray Blatche,C,6-11,235,1986-08-22,US,3,
2009,30,375,WAS,Washington Wizards,17,Dee Brown,PG,6-0,185,1984-08-17,US,1,Illinois
2009,30,436,WAS,Washington Wizards,3,Caron Butler,SG,6-7,228,1980-03-13,US,6,UConn
2009,30,633,WAS,Washington Wizards,8,Javaris Crittenton,PG,6-5,200,1987-12-31,US,1,Georgia Tech
2009,30,663,WAS,Washington Wizards,6,Antonio Daniels,PG,6-4,195,1975-03-19,US,11,Bowling Green
2009,30,756,WAS,Washington Wizards,12,Juan Dixon,PG,6-3,164,1978-10-09,US,6,Maryland
2009,30,1243,WAS,Washington Wizards,33,Brendan Haywood,C,7-0,268,1979-11-27,US,7,UNC
2009,30,1433,WAS,Washington Wizards,13,Mike James,PG,6-2,188,1975-06-23,US,7,Duquesne
2009,30,1435,WAS,Washington Wizards,4,Antawn Jamison,PF,6-8,223,1976-06-12,US,10,UNC
2009,30,1935,WAS,Washington Wizards,34,JaVale McGee,C,7-0,270,1988-01-19,US,R,Nevada
2009,30,1940,WAS,Washington Wizards,5,Dominic McGuire,SF,6-9,220,1985-10-20,US,1,"California, Fresno State"
2009,30,2278,WAS,Washington Wizards,14,Oleksiy Pecherov,C,7-0,232,1985-12-08,UA,1,
2009,30,2724,WAS,Washington Wizards,9,Darius Songaila,C,6-9,248,1978-02-14,LT,5,Wake Forest
2009,30,2757,WAS,Washington Wizards,2,DeShawn Stevenson,SG,6-5,210,1981-04-03,US,8,
2009,30,2851,WAS,Washington Wizards,36,Etan Thomas,C,6-9,256,1978-04-01,US,6,Syracuse
2009,30,3268,WAS,Washington Wizards,1,Nick Young,SG,6-7,210,1985-06-01,US,1,USC
