PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Luol Deng,27,75,75,2903,5.8,13.6,0.426,0.9,2.9,0.322,4.8,10.7,0.455,2.9,3.5,0.816,2.0,3.9,5.9,2.8,1.0,0.4,1.8,1.3,15.3
Carlos Boozer,31,79,79,2546,7.7,16.1,0.47700000000000004,0.0,0.0,0.0,7.7,16.1,0.478,2.7,3.7,0.731,2.5,8.4,10.9,2.5,0.9,0.4,2.5,3.4,18.1
Joakim Noah,27,66,64,2426,4.5,9.3,0.48100000000000004,0.0,0.1,0.0,4.5,9.3,0.485,2.6,3.5,0.7509999999999999,3.9,7.0,10.9,3.9,1.2,2.1,2.6,2.7,11.6
Jimmy Butler,23,82,20,2134,4.0,8.6,0.467,0.7,1.8,0.381,3.4,6.9,0.489,3.2,3.9,0.8029999999999999,2.3,3.2,5.5,1.9,1.3,0.5,1.0,1.6,11.9
Nate Robinson,28,82,23,2086,6.9,15.9,0.433,2.4,6.0,0.405,4.5,9.9,0.45,2.3,2.9,0.799,0.5,2.7,3.2,6.2,1.5,0.2,2.5,3.6,18.5
Marco Belinelli,26,73,27,1882,4.6,11.7,0.395,1.5,4.2,0.35700000000000004,3.1,7.4,0.41600000000000004,2.7,3.2,0.8390000000000001,0.2,2.4,2.7,2.8,0.8,0.1,1.6,2.7,13.4
Kirk Hinrich,32,60,60,1764,3.2,8.6,0.377,1.4,3.7,0.39,1.8,4.9,0.36700000000000005,1.4,2.0,0.7140000000000001,0.3,2.9,3.2,6.4,1.3,0.5,2.0,3.9,9.4
Taj Gibson,27,65,5,1459,5.3,10.9,0.485,0.0,0.1,0.0,5.3,10.8,0.49,2.2,3.2,0.679,3.1,5.4,8.5,1.5,0.7,2.2,1.9,4.1,12.8
Richard Hamilton,34,50,45,1088,6.8,15.7,0.429,0.5,1.7,0.308,6.2,14.0,0.444,2.2,2.5,0.857,0.5,2.2,2.7,3.9,0.8,0.2,2.8,3.1,16.2
Nazr Mohammed,35,63,12,693,3.4,9.4,0.36700000000000005,0.0,0.1,0.0,3.4,9.2,0.371,1.8,2.4,0.723,3.8,6.3,10.1,1.4,1.1,1.7,1.2,5.0,8.6
Marquis Teague,19,48,0,392,3.9,10.4,0.381,0.4,2.1,0.174,3.6,8.3,0.433,0.8,1.5,0.563,0.3,3.8,4.0,5.8,0.8,0.6,3.2,4.3,9.1
Daequan Cook,25,33,0,276,3.9,14.1,0.278,2.0,8.0,0.24600000000000002,2.0,6.1,0.319,0.9,1.2,0.778,0.3,5.3,5.6,1.2,0.3,0.7,1.2,1.7,10.7
Vladimir Radmanović,32,25,0,144,3.2,10.7,0.302,1.2,6.8,0.185,2.0,4.0,0.5,0.5,0.7,0.667,2.5,4.5,7.0,2.0,2.0,1.0,1.7,7.2,8.2
Malcolm Thomas,24,7,0,36,5.0,9.0,0.556,0.0,0.0,,5.0,9.0,0.556,2.0,4.0,0.5,5.0,6.0,11.0,2.0,2.0,1.0,2.0,7.0,12.0
Lou Amundson,30,1,0,2,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,0.0,,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
