Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2012,20.0,SAS,NBA,SF,64.0,39.0,1534.0,199.0,404.0,0.493,41.0,109.0,0.376,158.0,295.0,0.536,0.543,68.0,88.0,0.773,104.0,223.0,327.0,70.0,85.0,24.0,44.0,88.0,507.0,,0.0
2013,21.0,SAS,NBA,SF,58.0,57.0,1810.0,260.0,526.0,0.494,65.0,174.0,0.374,195.0,352.0,0.554,0.556,104.0,126.0,0.825,63.0,283.0,346.0,93.0,97.0,32.0,62.0,99.0,689.0,,0.0
2014,22.0,SAS,NBA,SF,66.0,65.0,1923.0,337.0,645.0,0.522,69.0,182.0,0.379,268.0,463.0,0.579,0.576,101.0,126.0,0.802,76.0,336.0,412.0,133.0,114.0,50.0,80.0,127.0,844.0,,0.0
2015,23.0,SAS,NBA,SF,64.0,64.0,2033.0,394.0,822.0,0.479,67.0,192.0,0.349,327.0,630.0,0.519,0.52,202.0,252.0,0.802,85.0,376.0,461.0,161.0,148.0,48.0,97.0,128.0,1057.0,,0.0
2016,24.0,SAS,NBA,SF,72.0,72.0,2380.0,551.0,1090.0,0.506,129.0,291.0,0.443,422.0,799.0,0.528,0.565,292.0,334.0,0.874,95.0,398.0,493.0,186.0,128.0,71.0,105.0,133.0,1523.0,,0.0
2017,25.0,SAS,NBA,SF,74.0,74.0,2474.0,636.0,1312.0,0.485,147.0,387.0,0.38,489.0,925.0,0.529,0.541,469.0,533.0,0.88,80.0,350.0,430.0,260.0,133.0,55.0,154.0,122.0,1888.0,,0.0
2018,26.0,SAS,NBA,SF,9.0,9.0,210.0,52.0,111.0,0.468,11.0,35.0,0.314,41.0,76.0,0.539,0.518,31.0,38.0,0.816,6.0,36.0,42.0,21.0,18.0,9.0,16.0,9.0,146.0,,0.0
2019,27.0,TOR,NBA,SF,60.0,60.0,2040.0,560.0,1129.0,0.496,112.0,302.0,0.371,448.0,827.0,0.542,0.546,364.0,426.0,0.854,78.0,361.0,439.0,199.0,106.0,24.0,121.0,87.0,1596.0,,0.0
2020,28.0,LAC,NBA,SF,57.0,57.0,1848.0,532.0,1133.0,0.47,123.0,325.0,0.378,409.0,808.0,0.506,0.524,356.0,402.0,0.886,54.0,348.0,402.0,280.0,103.0,33.0,149.0,113.0,1543.0,,1.0
2021,29.0,LAC,NBA,SF,10.0,10.0,351.0,88.0,188.0,0.468,21.0,48.0,0.438,67.0,140.0,0.479,0.524,51.0,59.0,0.864,11.0,39.0,50.0,60.0,20.0,8.0,20.0,21.0,248.0,,0.0
