PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shareef Abdur-Rahim,23.0,82,82.0,3223,594,1277,0.465,29,96,0.302,565,1181,0.478,0.47700000000000004,446,551,0.809,218,607,825,271,89,87,249,244,1663
Mike Bibby,21.0,82,82.0,3155,459,1031,0.445,77,212,0.363,382,819,0.466,0.483,195,250,0.78,73,233,306,665,132,15,247,171,1190
Michael Dickerson,24.0,82,82.0,3103,554,1270,0.436,119,291,0.409,435,979,0.444,0.483,269,324,0.83,78,201,279,208,116,45,165,226,1496
Othella Harrington,26.0,82,82.0,2677,420,830,0.506,0,2,0.0,420,828,0.507,0.506,236,298,0.792,196,367,563,97,36,58,217,287,1076
Bryant Reeves,26.0,69,67.0,1773,252,562,0.44799999999999995,0,4,0.0,252,558,0.452,0.44799999999999995,107,165,0.648,126,264,390,82,33,38,119,245,611
Dennis Scott,31.0,66,0.0,1263,125,333,0.375,71,189,0.376,54,144,0.375,0.48200000000000004,48,57,0.8420000000000001,16,90,106,69,28,9,30,104,369
Grant Long,33.0,42,1.0,920,74,167,0.44299999999999995,0,4,0.0,74,163,0.45399999999999996,0.44299999999999995,55,71,0.775,86,148,234,43,45,10,49,108,203
Cherokee Parks,27.0,56,14.0,808,72,145,0.49700000000000005,0,1,0.0,72,144,0.5,0.49700000000000005,24,37,0.649,55,128,183,35,29,45,28,115,168
Felipe López,25.0,65,0.0,781,111,261,0.425,3,18,0.16699999999999998,108,243,0.444,0.431,67,109,0.615,59,65,124,44,32,17,53,94,292
Doug West,32.0,38,0.0,581,59,145,0.40700000000000003,0,3,0.0,59,142,0.415,0.40700000000000003,34,40,0.85,18,53,71,43,12,8,19,80,152
Brent Price,31.0,41,0.0,424,41,119,0.345,25,68,0.368,16,51,0.314,0.45,34,39,0.872,8,29,37,69,17,1,47,63,141
Milt Palacio,21.0,53,0.0,394,43,98,0.439,0,2,0.0,43,96,0.44799999999999995,0.439,22,37,0.595,17,34,51,48,20,0,44,32,108
Obinna Ekezie,24.0,39,0.0,351,41,88,0.466,0,0,,41,88,0.466,0.466,43,64,0.672,34,58,92,8,9,4,26,61,125
Antoine Carr,38.0,21,0.0,221,28,64,0.43799999999999994,0,0,,28,64,0.43799999999999994,0.43799999999999994,11,14,0.7859999999999999,8,24,32,7,3,6,9,42,67
Joe Stephens,27.0,13,0.0,181,19,51,0.373,0,8,0.0,19,43,0.442,0.373,3,4,0.75,13,23,36,11,7,3,6,9,41
Team Totals,,82,,19855,2892,6441,0.449,324,898,0.361,2568,5543,0.46299999999999997,0.474,1594,2060,0.774,1005,2324,3329,1700,608,346,1381,1881,7702
