Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1980,1,2504,ATL,Atlanta Hawks,Tree Rollins,"June 16, 1955",24.0,NBA,C,5.0,134.0,16.0,0.59,0.0,0.32,14.1,17.6,15.8,3.6,0.8,6.8,14.5,13.3,0.2,0.1,0.4,0.14,0.2,1.4,1.7,0.1
1982,1,2504,ATL,Atlanta Hawks,Tree Rollins,"June 16, 1955",26.0,NBA,C,2.0,65.0,4.1,0.45,0.0,0.67,9.1,6.8,8.1,5.2,0.0,6.0,39.2,9.2,-0.1,0.0,-0.1,-0.06,-5.8,1.7,-4.1,0.0
1983,1,2504,ATL,Atlanta Hawks,Tree Rollins,"June 16, 1955",27.0,NBA,C,3.0,118.0,10.3,0.47,0.0,0.33,9.0,17.1,13.1,4.0,0.4,4.7,16.2,13.8,-0.1,0.2,0.2,0.06,-1.7,1.2,-0.5,0.0
1984,1,2504,ATL,Atlanta Hawks,Tree Rollins,"June 16, 1955",28.0,NBA,C,5.0,152.0,4.8,0.44,0.0,0.32,7.3,21.1,13.6,1.0,0.7,4.5,27.8,11.2,-0.3,0.2,-0.1,-0.03,-6.0,0.5,-5.5,-0.1
1986,1,2504,ATL,Atlanta Hawks,Tree Rollins,"June 16, 1955",30.0,NBA,C,9.0,248.0,10.2,0.57,0.0,0.23,8.0,26.6,17.3,1.6,0.4,3.4,18.8,10.8,0.0,0.3,0.4,0.07,-2.2,1.3,-0.9,0.1
1987,1,2504,ATL,Atlanta Hawks,Tree Rollins,"June 16, 1955",31.0,NBA,C,9.0,221.0,9.7,0.58,0.0,0.5,9.9,17.6,13.8,1.9,0.7,4.8,17.0,8.3,0.1,0.4,0.5,0.11,-1.8,1.7,-0.1,0.1
1988,1,2504,ATL,Atlanta Hawks,Tree Rollins,"June 16, 1955",32.0,NBA,C,12.0,333.0,10.1,0.62,0.0,0.42,8.2,17.7,12.8,2.2,1.5,3.7,10.5,6.3,0.4,0.3,0.7,0.11,-1.4,2.1,0.7,0.2
1989,6,2504,CLE,Cleveland Cavaliers,Tree Rollins,"June 16, 1955",33.0,NBA,C,5.0,74.0,14.7,0.74,0.0,0.62,7.8,17.7,12.7,2.0,2.2,6.4,8.9,6.9,0.1,0.2,0.3,0.19,-0.5,4.6,4.2,0.1
1990,6,2504,CLE,Cleveland Cavaliers,Tree Rollins,"June 16, 1955",34.0,NBA,C,3.0,38.0,6.6,0.61,0.0,2.67,0.0,22.3,12.3,3.2,2.7,1.7,31.5,11.5,0.0,0.1,0.0,0.04,-6.1,2.7,-3.3,0.0
1991,9,2504,DET,Detroit Pistons,Tree Rollins,"June 16, 1955",35.0,NBA,C,6.0,32.0,3.4,1.0,0.0,0.0,3.3,7.2,5.2,0.0,1.7,2.1,50.0,5.5,0.0,0.0,0.0,0.02,-4.5,1.0,-3.5,0.0
1993,11,2504,HOU,Houston Rockets,Tree Rollins,"June 16, 1955",37.0,NBA,C,6.0,16.0,3.2,0.0,0.33,0.0,8.0,19.6,14.4,0.0,6.6,0.0,0.0,8.6,-0.1,0.0,0.0,-0.03,-7.2,0.2,-7.0,0.0
1994,22,2504,ORL,Orlando Magic,Tree Rollins,"June 16, 1955",38.0,NBA,C,3.0,29.0,3.6,0.4,0.0,0.0,12.2,0.0,6.2,0.0,1.9,2.4,0.0,7.6,0.0,0.0,0.0,0.04,-7.8,-0.7,-8.5,0.0
1995,22,2504,ORL,Orlando Magic,Tree Rollins,"June 16, 1955",39.0,NBA,C,14.0,81.0,0.8,0.52,0.0,0.8,5.9,2.9,4.4,0.0,0.0,5.7,37.2,6.1,-0.1,0.0,-0.1,-0.04,-8.3,0.7,-7.5,-0.1
