Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995,20,3165,NYK,New York Knicks,23.0,NBA,SF,41.0,23.0,503.0,4.3,9.5,0.45,0.0,0.6,0.0,4.3,8.9,0.48,1.2,2.7,0.45,3.0,4.0,7.0,3.5,1.4,0.3,2.9,6.2,9.8
1996,31,3165,TOT,Total After Trade,24.0,NBA,SF,31.0,0.0,184.0,5.3,13.3,0.4,0.0,0.2,0.0,5.3,13.1,0.4,2.7,3.9,0.7,3.9,3.9,7.8,1.6,1.2,0.4,3.5,5.1,13.3
1996,20,3165,NYK,New York Knicks,24.0,NBA,SF,14.0,0.0,62.0,4.1,12.8,0.32,0.0,0.0,,4.1,12.8,0.32,2.9,4.6,0.62,5.2,4.6,9.9,2.3,1.2,0.0,2.9,5.2,11.0
1996,27,3165,SAS,San Antonio Spurs,24.0,NBA,SF,17.0,0.0,122.0,5.9,13.6,0.44,0.0,0.3,0.0,5.9,13.3,0.44,2.7,3.5,0.75,3.2,3.5,6.8,1.2,1.2,0.6,3.8,5.0,14.5
1997,27,3165,SAS,San Antonio Spurs,25.0,NBA,SF,65.0,26.0,1345.0,6.3,12.3,0.51,0.0,0.0,0.0,6.3,12.3,0.51,3.2,5.0,0.64,2.6,2.9,5.5,2.4,1.5,1.4,3.1,4.3,15.7
1998,27,3165,SAS,San Antonio Spurs,26.0,NBA,SF,72.0,16.0,1314.0,4.5,10.1,0.45,0.0,0.1,0.5,4.5,10.0,0.45,3.3,5.0,0.67,1.8,3.1,4.9,2.4,0.9,0.7,2.2,3.6,12.4
1999,8,3165,DEN,Denver Nuggets,27.0,NBA,SF,1.0,0.0,6.0,0.0,12.0,0.0,0.0,0.0,,0.0,12.0,0.0,6.0,12.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2001,22,3165,ORL,Orlando Magic,29.0,NBA,SF,82.0,0.0,1211.0,4.8,10.8,0.44,0.0,0.4,0.08,4.8,10.4,0.46,2.5,4.0,0.64,2.6,4.7,7.2,2.3,0.9,0.5,2.5,4.0,12.2
2002,22,3165,ORL,Orlando Magic,30.0,NBA,SF,68.0,19.0,1284.0,5.6,10.1,0.55,0.0,0.1,0.0,5.6,10.0,0.55,2.5,3.8,0.66,2.2,4.3,6.6,2.7,1.4,0.5,2.4,3.8,13.6
2003,23,3165,PHI,Philadelphia 76Ers,31.0,NBA,SF,21.0,2.0,276.0,4.4,10.4,0.42,0.0,0.3,0.0,4.4,10.2,0.44,3.1,4.2,0.75,1.6,4.3,5.9,3.4,1.6,0.7,2.2,4.3,12.0
