NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
40,Willie Anderson,SG,6-7,190,1967-01-08,US,4,Georgia
0,William Bedford,C,7-0,225,1963-12-14,US,5,Memphis
35,Antoine Carr,PF,6-9,225,1961-07-23,US,8,Wichita State
34,Terry Cummings,PF,6-9,220,1961-03-15,US,10,DePaul
24,Lloyd Daniels,SG,6-7,205,1967-09-04,US,R,Mount San Antonio College
15,Vinny Del Negro,PG,6-4,185,1966-08-09,US,2,NC State
32,Sean Elliott,SF,6-8,205,1968-02-02,US,3,Arizona
3,Dale Ellis,SG,6-7,205,1960-08-06,US,9,Tennessee
21,Sidney Green,PF,6-9,220,1961-01-04,US,9,UNLV
6,Avery Johnson,PG,5-10,175,1965-03-25,US,4,"Cameron University, Southern University and A&M College"
5,Sam Mack,SF,6-7,220,1970-05-26,US,R,"Iowa State, Tyler Junior College, Houston"
12,Matt Othick,PG,6-2,165,1969-03-16,US,R,Arizona
7,J.R. Reid,PF,6-9,247,1968-03-31,US,3,UNC
50,David Robinson,C,7-1,235,1965-08-06,US,3,United States Naval Academy
2,Larry Smith,PF,6-8,215,1958-01-18,US,12,Alcorn State
10,David Wood,PF,6-9,227,1964-11-30,US,2,Nevada
