Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990,22.0,WSB,NBA,PF,61.0,8.0,13.2,2.1,4.8,0.437,0.0,0.0,0.0,2.1,4.8,0.439,0.437,1.0,1.6,0.643,1.0,1.8,2.8,0.8,0.2,0.2,0.8,1.6,5.3
1991,23.0,WSB,NBA,PF,70.0,7.0,14.6,2.2,4.8,0.461,0.0,0.1,0.0,2.2,4.7,0.467,0.461,0.8,1.1,0.722,0.8,2.1,2.9,0.6,0.2,0.1,0.8,1.5,5.2
1992,24.0,WSB,NBA,PF,37.0,19.0,26.6,5.3,10.8,0.488,0.0,0.0,0.0,5.3,10.8,0.489,0.488,1.4,2.2,0.61,1.3,3.7,5.0,1.0,0.6,0.4,1.6,3.2,11.9
1993,25.0,TOT,NBA,PF,54.0,5.0,13.2,1.9,4.1,0.475,0.0,0.0,0.0,1.9,4.1,0.477,0.475,0.7,1.1,0.613,0.7,1.6,2.4,0.4,0.3,0.2,0.6,1.4,4.6
1993,25.0,CHH,NBA,PF,19.0,5.0,7.5,1.0,2.4,0.422,0.0,0.0,,1.0,2.4,0.422,0.422,0.3,0.4,0.625,0.3,1.4,1.6,0.4,0.0,0.2,0.2,1.1,2.3
1993,25.0,DEN,NBA,PF,35.0,0.0,16.3,2.5,5.0,0.489,0.0,0.0,0.0,2.5,5.0,0.491,0.489,0.9,1.5,0.611,0.9,1.8,2.7,0.5,0.5,0.2,0.9,1.6,5.9
1994,26.0,DEN,NBA,PF,74.0,2.0,11.9,1.6,3.1,0.5,0.0,0.0,,1.6,3.1,0.5,0.5,1.0,1.4,0.683,0.8,1.9,2.7,0.5,0.3,0.2,0.6,1.2,4.1
1995,27.0,DEN,NBA,PF,70.0,5.0,13.7,2.0,3.7,0.535,0.0,0.0,0.0,2.0,3.7,0.537,0.535,1.9,2.5,0.746,0.8,2.4,3.2,0.5,0.2,0.2,0.8,1.9,5.9
1996,28.0,DEN,NBA,PF,71.0,4.0,14.7,1.8,3.8,0.474,0.0,0.0,,1.8,3.8,0.474,0.474,1.2,1.6,0.765,1.2,1.9,3.1,0.3,0.3,0.2,0.7,1.9,4.8
1997,29.0,DEN,NBA,PF,81.0,8.0,21.7,2.4,4.9,0.48,0.0,0.0,0.0,2.4,4.9,0.482,0.48,1.5,2.1,0.721,1.7,3.3,5.0,0.8,0.2,0.3,1.1,2.5,6.2
1998,30.0,MIN,NBA,PF,57.0,2.0,20.0,2.2,4.3,0.516,0.0,0.0,0.0,2.2,4.3,0.518,0.516,1.6,2.3,0.697,1.8,3.0,4.8,0.6,0.3,0.3,0.8,2.2,6.1
1999,31.0,MIN,NBA,PF,49.0,0.0,14.6,1.7,3.7,0.458,0.0,0.0,,1.7,3.7,0.458,0.458,1.0,1.5,0.64,1.1,1.7,2.8,0.4,0.2,0.1,0.7,1.8,4.3
2001,33.0,MIN,NBA,PF,7.0,0.0,4.3,0.4,1.4,0.3,0.0,0.0,,0.4,1.4,0.3,0.3,0.1,0.3,0.5,0.3,0.3,0.6,0.1,0.0,0.0,0.4,1.1,1.0
