Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2011,3,NJN,New Jersey Nets,2,Jordan Farmar,PG,6-2,180,1986-11-30,US,4,UCLA
2011,3,NJN,New Jersey Nets,14,Derrick Favors,PF,6-9,265,1991-07-15,US,R,Georgia Tech
2011,3,NJN,New Jersey Nets,50,Dan Gadzuric,PF,6-11,240,1978-02-02,NL,8,UCLA
2011,3,NJN,New Jersey Nets,0,Sundiata Gaines,PG,6-1,185,1986-04-18,US,1,Georgia
2011,3,NJN,New Jersey Nets,26,Stephen Graham,SG,6-6,215,1982-06-11,US,5,"Central Florida, Oklahoma State"
2011,3,NJN,New Jersey Nets,0,Orien Greene,SG,6-4,208,1982-02-04,US,3,"Florida, Louisiana"
2011,3,NJN,New Jersey Nets,34,Devin Harris,PG,6-3,185,1983-02-27,US,6,Wisconsin
2011,3,NJN,New Jersey Nets,43,Kris Humphries,PF,6-9,235,1985-02-06,US,6,Minnesota
2011,3,NJN,New Jersey Nets,10,Damion James,SF,6-7,225,1987-10-07,US,R,Texas
2011,3,NJN,New Jersey Nets,11,Brook Lopez,C,7-0,282,1988-04-01,US,2,Stanford
2011,3,NJN,New Jersey Nets,22,Anthony Morrow,SG,6-5,210,1985-09-27,US,2,Georgia Tech
2011,3,NJN,New Jersey Nets,7,Troy Murphy,PF,6-11,245,1980-05-02,US,9,Notre Dame
2011,3,NJN,New Jersey Nets,21,Travis Outlaw,SF,6-9,210,1984-09-18,US,7,
2011,3,NJN,New Jersey Nets,27,Johan Petro,C,7-0,247,1986-01-27,FR,5,
2011,3,NJN,New Jersey Nets,13,Quinton Ross,SF,6-6,195,1981-04-30,US,6,SMU
2011,3,NJN,New Jersey Nets,8,Joe Smith,PF,6-10,225,1975-07-26,US,15,Maryland
2011,3,NJN,New Jersey Nets,18,Ben Uzoh,PG,6-3,205,1988-03-19,US,R,Tulsa
2011,3,NJN,New Jersey Nets,20,Sasha Vujacic,SG,6-7,195,1984-03-08,SI,6,
2011,3,NJN,New Jersey Nets,6,Mario West,SG,6-5,210,1984-06-19,US,3,Georgia Tech
2011,3,NJN,New Jersey Nets,8,Deron Williams,PG,6-3,200,1984-06-26,US,5,Illinois
2011,3,NJN,New Jersey Nets,1,Terrence Williams,SG,6-6,220,1987-06-28,US,1,Louisville
2011,3,NJN,New Jersey Nets,34,Brandan Wright,PF,6-10,210,1987-10-05,US,2,UNC
