Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987,21,1953,SEA,Seattle Supersonics,Nate McMillan,"August 3, 1964",22.0,NBA,PG,14,14,25.4,1.9,4.4,0.44,0.0,0.0,,1.9,4.4,0.44,0.44,1.2,1.7,0.71,0.9,2.9,3.9,8.0,1.0,0.7,1.9,3.0,5.1
1988,21,1953,SEA,Seattle Supersonics,Nate McMillan,"August 3, 1964",23.0,NBA,PG,5,5,25.4,2.4,7.0,0.34,0.0,0.2,0.0,2.4,6.8,0.35,0.34,1.8,2.8,0.64,1.2,3.0,4.2,6.6,0.4,0.6,1.6,2.2,6.6
1989,21,1953,SEA,Seattle Supersonics,Nate McMillan,"August 3, 1964",24.0,NBA,PG,8,7,25.0,2.4,5.0,0.48,0.0,0.3,0.0,2.4,4.8,0.5,0.48,2.0,3.1,0.64,1.1,2.0,3.1,7.9,1.3,0.6,2.4,2.6,6.8
1991,21,1953,SEA,Seattle Supersonics,Nate McMillan,"August 3, 1964",26.0,NBA,SG,5,0,19.0,1.2,4.6,0.26,0.0,0.4,0.0,1.2,4.2,0.29,0.26,0.4,0.8,0.5,1.2,2.4,3.6,4.4,1.2,0.2,0.6,3.0,2.8
1992,21,1953,SEA,Seattle Supersonics,Nate McMillan,"August 3, 1964",27.0,NBA,PG,9,2,27.3,3.9,9.2,0.42,0.7,2.9,0.23,3.2,6.3,0.51,0.46,1.1,1.6,0.71,1.6,2.1,3.7,7.0,1.8,0.3,2.4,3.9,9.6
1993,21,1953,SEA,Seattle Supersonics,Nate McMillan,"August 3, 1964",28.0,NBA,PG,19,2,21.8,1.8,5.4,0.34,0.3,1.3,0.21,1.6,4.2,0.38,0.36,0.8,1.6,0.53,1.1,2.4,3.5,5.4,2.1,0.6,1.3,2.8,4.8
1994,21,1953,SEA,Seattle Supersonics,Nate McMillan,"August 3, 1964",29.0,NBA,PG,5,0,21.8,1.6,5.0,0.32,0.8,2.2,0.36,0.8,2.8,0.29,0.4,0.2,0.8,0.25,1.2,2.0,3.2,2.0,1.2,0.2,1.0,3.6,4.2
1995,21,1953,SEA,Seattle Supersonics,Nate McMillan,"August 3, 1964",30.0,NBA,PG,4,4,28.3,2.0,5.8,0.35,0.3,2.0,0.12,1.8,3.8,0.47,0.37,0.5,0.5,1.0,1.8,2.8,4.5,7.3,2.5,0.5,1.8,3.3,4.8
1996,21,1953,SEA,Seattle Supersonics,Nate McMillan,"August 3, 1964",31.0,NBA,PG,19,0,20.3,1.5,3.6,0.41,1.0,2.1,0.48,0.5,1.5,0.31,0.54,0.5,0.7,0.64,0.7,3.0,3.7,2.7,1.2,0.3,1.1,1.8,4.4
1997,21,1953,SEA,Seattle Supersonics,Nate McMillan,"August 3, 1964",32.0,NBA,PG,3,0,13.7,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,,0.0,0.0,0.0,,0.3,1.3,1.7,1.0,0.3,0.0,0.7,3.7,0.0
1998,21,1953,SEA,Seattle Supersonics,Nate McMillan,"August 3, 1964",33.0,NBA,SG,7,0,14.1,0.9,2.6,0.33,0.3,1.7,0.17,0.6,0.9,0.67,0.39,0.3,0.3,1.0,0.3,2.0,2.3,2.1,0.4,0.3,0.3,2.4,2.3
