Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,22.0,DET,NBA,SG,82,45,1957,287,597,0.481,5,16,0.313,282,581,0.485,0.485,190,238,0.798,60,59,119,390,66,11,158,200,769
1986-87,23.0,DET,NBA,SG,79,75,2439,369,749,0.493,9,22,0.409,360,727,0.495,0.499,184,246,0.748,50,117,167,352,83,5,171,194,931
1987-88,24.0,DET,NBA,SG,82,82,2732,453,960,0.472,4,19,0.211,449,941,0.477,0.474,251,308,0.815,63,137,200,387,87,15,172,155,1161
1988-89,25.0,DET,NBA,SG,69,67,2408,456,903,0.505,14,29,0.483,442,874,0.506,0.513,260,306,0.85,57,115,172,390,63,5,178,103,1186
1989-90,26.0,DET,NBA,SG,75,71,2578,508,1058,0.48,22,55,0.4,486,1003,0.485,0.491,297,330,0.9,60,152,212,368,63,2,145,129,1335
1990-91,27.0,DET,NBA,SG,80,80,3046,622,1292,0.481,14,45,0.311,608,1247,0.488,0.487,371,417,0.89,62,125,187,443,89,7,189,135,1629
1991-92,28.0,DET,NBA,SG,82,82,3192,587,1311,0.448,49,120,0.408,538,1191,0.452,0.466,412,475,0.867,82,106,188,375,71,12,193,145,1635
1992-93,29.0,DET,NBA,SG,77,77,3094,677,1454,0.466,112,299,0.375,565,1155,0.489,0.504,343,397,0.864,63,85,148,308,78,7,138,141,1809
1993-94,30.0,DET,NBA,SG,69,69,2591,505,1118,0.452,124,320,0.388,381,798,0.477,0.507,276,330,0.836,35,116,151,261,63,4,159,118,1410
1994-95,31.0,DET,NBA,SG,67,67,2544,417,970,0.43,103,338,0.305,314,632,0.497,0.483,277,344,0.805,47,111,158,368,72,7,219,153,1214
1995-96,32.0,DET,NBA,PG,67,40,2193,255,598,0.426,121,298,0.406,134,300,0.447,0.528,162,197,0.822,28,110,138,265,43,3,97,106,793
1996-97,33.0,DET,NBA,SG,79,79,2923,385,875,0.44,166,384,0.432,219,491,0.446,0.535,222,256,0.867,38,153,191,318,57,1,128,97,1158
1997-98,34.0,DET,NBA,SG,72,72,2326,329,791,0.416,158,426,0.371,171,365,0.468,0.516,127,154,0.825,14,90,104,253,44,2,84,99,943
1998-99,35.0,DET,NBA,SG,38,38,1116,144,350,0.411,89,221,0.403,55,129,0.426,0.539,51,61,0.836,12,56,68,134,23,2,53,51,428
