Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981,30.0,1820,WSB,Washington Bullets,Rick Mahorn,1958-09-21,22.0,NBA,PF,52,,13.4,2.1,4.2,0.507,0.0,0.0,,2.1,4.2,0.507,0.507,0.5,0.8,0.675,1.3,2.8,4.1,0.5,0.4,0.8,0.7,2.6,4.8
1982,30.0,1820,WSB,Washington Bullets,Rick Mahorn,1958-09-21,23.0,NBA,PF,80,80.0,33.3,5.2,10.2,0.507,0.0,0.0,0.0,5.2,10.2,0.509,0.507,1.9,2.9,0.632,1.9,6.9,8.8,1.9,0.7,1.7,2.0,4.4,12.2
1983,30.0,1820,WSB,Washington Bullets,Rick Mahorn,1958-09-21,24.0,NBA,PF,82,82.0,36.9,4.6,9.4,0.49,0.0,0.0,0.0,4.6,9.3,0.492,0.49,1.8,3.1,0.575,2.1,7.4,9.5,1.4,1.0,1.8,2.1,4.1,11.0
1984,30.0,1820,WSB,Washington Bullets,Rick Mahorn,1958-09-21,25.0,NBA,PF,82,82.0,32.9,3.7,7.4,0.507,0.0,0.0,,3.7,7.4,0.507,0.507,1.5,2.3,0.651,2.1,6.9,9.0,1.6,0.8,1.5,1.7,4.4,9.0
1985,30.0,1820,WSB,Washington Bullets,Rick Mahorn,1958-09-21,26.0,NBA,PF,77,63.0,26.9,2.7,5.4,0.499,0.0,0.0,,2.7,5.4,0.499,0.499,0.9,1.4,0.683,1.9,5.9,7.9,1.6,0.8,1.4,1.7,4.0,6.3
1986,9.0,1820,DET,Detroit Pistons,Rick Mahorn,1958-09-21,27.0,NBA,PF,80,12.0,18.0,2.0,4.3,0.455,0.0,0.0,0.0,2.0,4.3,0.456,0.455,1.0,1.5,0.681,1.5,3.6,5.2,0.8,0.5,0.8,1.4,3.3,4.9
1987,9.0,1820,DET,Detroit Pistons,Rick Mahorn,1958-09-21,28.0,NBA,PF,63,6.0,20.3,2.3,5.1,0.447,0.0,0.0,,2.3,5.1,0.447,0.447,1.5,1.9,0.821,1.5,4.5,6.0,0.6,0.5,0.8,1.2,3.5,6.1
1988,9.0,1820,DET,Detroit Pistons,Rick Mahorn,1958-09-21,29.0,NBA,PF,67,64.0,29.3,4.1,7.2,0.574,0.0,0.0,0.5,4.1,7.1,0.574,0.575,2.4,3.2,0.756,2.4,6.1,8.4,0.9,0.6,0.6,1.8,3.9,10.7
1989,9.0,1820,DET,Detroit Pistons,Rick Mahorn,1958-09-21,30.0,NBA,PF,72,61.0,24.9,2.8,5.5,0.517,0.0,0.0,0.0,2.8,5.4,0.519,0.517,1.6,2.2,0.748,2.0,4.9,6.9,0.8,0.6,0.9,1.3,2.9,7.3
1990,23.0,1820,PHI,Philadelphia 76Ers,Rick Mahorn,1958-09-21,31.0,NBA,PF,75,66.0,30.3,4.2,8.4,0.497,0.0,0.1,0.222,4.1,8.3,0.501,0.498,2.4,3.4,0.715,2.2,5.3,7.6,1.3,0.6,1.4,1.4,3.3,10.8
1991,23.0,1820,PHI,Philadelphia 76Ers,Rick Mahorn,1958-09-21,32.0,NBA,C,80,74.0,30.5,3.3,7.0,0.467,0.0,0.1,0.0,3.3,6.9,0.475,0.467,2.4,3.0,0.788,1.9,5.9,7.8,1.5,1.0,0.7,1.6,3.5,8.9
1993,3.0,1820,NJN,New Jersey Nets,Rick Mahorn,1958-09-21,34.0,NBA,PF,74,9.0,14.6,1.4,2.9,0.472,0.0,0.0,0.333,1.4,2.9,0.474,0.474,1.2,1.5,0.8,1.3,2.5,3.8,0.4,0.3,0.4,0.8,2.1,3.9
1994,3.0,1820,NJN,New Jersey Nets,Rick Mahorn,1958-09-21,35.0,NBA,PF,28,0.0,8.1,0.8,1.7,0.489,0.0,0.0,0.0,0.8,1.6,0.5,0.489,0.5,0.7,0.65,0.6,1.4,1.9,0.2,0.1,0.2,0.3,1.4,2.1
1995,3.0,1820,NJN,New Jersey Nets,Rick Mahorn,1958-09-21,36.0,NBA,PF,58,7.0,10.9,1.4,2.6,0.523,0.0,0.1,0.333,1.3,2.6,0.527,0.526,0.7,0.8,0.796,0.8,2.0,2.8,0.4,0.2,0.2,0.6,1.6,3.4
1996,3.0,1820,NJN,New Jersey Nets,Rick Mahorn,1958-09-21,37.0,NBA,C,50,0.0,9.0,0.9,2.4,0.352,0.0,0.0,0.0,0.9,2.4,0.355,0.352,0.7,0.9,0.723,0.6,1.6,2.2,0.3,0.3,0.3,0.6,1.4,2.4
1997,9.0,1820,DET,Detroit Pistons,Rick Mahorn,1958-09-21,38.0,NBA,C,22,7.0,9.9,0.9,2.5,0.37,0.0,0.0,0.0,0.9,2.4,0.377,0.37,0.7,1.0,0.727,0.9,1.5,2.4,0.3,0.2,0.1,0.5,1.5,2.5
1998,9.0,1820,DET,Detroit Pistons,Rick Mahorn,1958-09-21,39.0,NBA,C,59,0.0,12.0,1.0,2.2,0.457,0.0,0.0,,1.0,2.2,0.457,0.457,0.4,0.6,0.676,1.1,2.2,3.3,0.3,0.2,0.1,0.6,2.1,2.4
1999,23.0,1820,PHI,Philadelphia 76Ers,Rick Mahorn,1958-09-21,40.0,NBA,PF,16,0.0,7.9,0.3,1.1,0.278,0.0,0.0,,0.3,1.1,0.278,0.278,0.2,0.5,0.375,0.4,1.0,1.4,0.1,0.3,0.1,0.4,1.4,0.8
