Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002,18,878,MIN,Minnesota Timberwolves,Maurice Evans,"November 8, 1978",23.0,NBA,SG,10.0,0.0,45.0,9.0,19.0,0.47,0.0,3.0,0.0,9.0,16.0,0.56,0.47,3.0,4.0,0.75,3.0,1.0,4.0,4.0,0.0,0.0,2.0,9.0,21.0
2005,26,878,SAC,Sacramento Kings,Maurice Evans,"November 8, 1978",26.0,NBA,SG,65.0,11.0,1233.0,165.0,373.0,0.44,27.0,82.0,0.33,138.0,291.0,0.47,0.48,59.0,78.0,0.76,88.0,113.0,201.0,45.0,37.0,8.0,34.0,104.0,416.0
2006,9,878,DET,Detroit Pistons,Maurice Evans,"November 8, 1978",27.0,NBA,SG,80.0,1.0,1139.0,154.0,341.0,0.45,43.0,116.0,0.37,111.0,225.0,0.49,0.52,52.0,65.0,0.8,76.0,87.0,163.0,60.0,41.0,15.0,39.0,122.0,403.0
2007,14,878,LAL,Los Angeles Lakers,Maurice Evans,"November 8, 1978",28.0,NBA,SG,76.0,10.0,1732.0,234.0,542.0,0.43,48.0,133.0,0.36,186.0,409.0,0.46,0.48,122.0,155.0,0.79,93.0,128.0,221.0,74.0,38.0,14.0,57.0,126.0,638.0
2008,31,878,TOT,Total After Trade,Maurice Evans,"November 8, 1978",29.0,NBA,SG,75.0,47.0,1720.0,262.0,545.0,0.48,81.0,209.0,0.39,181.0,336.0,0.54,0.56,59.0,83.0,0.71,92.0,126.0,218.0,81.0,46.0,10.0,40.0,142.0,664.0
2008,14,878,LAL,Los Angeles Lakers,Maurice Evans,"November 8, 1978",29.0,NBA,SG,7.0,0.0,96.0,9.0,28.0,0.32,1.0,7.0,0.14,8.0,21.0,0.38,0.34,12.0,15.0,0.8,4.0,5.0,9.0,12.0,5.0,1.0,0.0,10.0,31.0
2008,22,878,ORL,Orlando Magic,Maurice Evans,"November 8, 1978",29.0,NBA,SG,68.0,47.0,1624.0,253.0,517.0,0.49,80.0,202.0,0.4,173.0,315.0,0.55,0.57,47.0,68.0,0.69,88.0,121.0,209.0,69.0,41.0,9.0,40.0,132.0,633.0
2009,1,878,ATL,Atlanta Hawks,Maurice Evans,"November 8, 1978",30.0,NBA,SF,80.0,25.0,1840.0,208.0,482.0,0.43,98.0,248.0,0.4,110.0,234.0,0.47,0.53,60.0,73.0,0.82,88.0,155.0,243.0,54.0,50.0,10.0,43.0,163.0,574.0
2010,1,878,ATL,Atlanta Hawks,Maurice Evans,"November 8, 1978",31.0,NBA,SF,79.0,5.0,1317.0,175.0,393.0,0.44,57.0,169.0,0.34,118.0,224.0,0.53,0.52,46.0,61.0,0.75,59.0,95.0,154.0,48.0,34.0,17.0,20.0,125.0,453.0
2011,31,878,TOT,Total After Trade,Maurice Evans,"November 8, 1978",32.0,NBA,SF,73.0,24.0,1549.0,177.0,424.0,0.42,55.0,167.0,0.33,122.0,257.0,0.48,0.48,52.0,58.0,0.9,52.0,104.0,156.0,45.0,34.0,14.0,33.0,129.0,461.0
2011,1,878,ATL,Atlanta Hawks,Maurice Evans,"November 8, 1978",32.0,NBA,SF,47.0,12.0,837.0,79.0,201.0,0.39,28.0,89.0,0.32,51.0,112.0,0.46,0.46,24.0,28.0,0.86,23.0,61.0,84.0,30.0,16.0,5.0,15.0,74.0,210.0
2011,30,878,WAS,Washington Wizards,Maurice Evans,"November 8, 1978",32.0,NBA,SF,26.0,12.0,712.0,98.0,223.0,0.44,27.0,78.0,0.35,71.0,145.0,0.49,0.5,28.0,30.0,0.93,29.0,43.0,72.0,15.0,18.0,9.0,18.0,55.0,251.0
2012,30,878,WAS,Washington Wizards,Maurice Evans,"November 8, 1978",33.0,NBA,SF,24.0,0.0,343.0,45.0,112.0,0.4,17.0,45.0,0.38,28.0,67.0,0.42,0.48,10.0,13.0,0.77,8.0,16.0,24.0,9.0,14.0,0.0,10.0,36.0,117.0
