Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2009,22.0,MIA,NBA,PG,82.0,82.0,2626.0,5.7,13.5,0.42,2.3,6.3,0.367,3.3,7.1,0.467,3.0,3.9,0.767,0.8,3.9,4.6,8.2,3.3,0.2,3.4,4.9,16.6,,107.0,107.0
2010,23.0,MIA,NBA,PG,73.0,22.0,1807.0,5.4,13.5,0.401,2.2,7.0,0.318,3.2,6.5,0.491,2.4,3.3,0.745,0.7,3.3,4.0,7.3,2.7,0.4,3.6,5.2,15.4,,100.0,105.0
2011,24.0,MIA,NBA,PG,70.0,28.0,1579.0,5.2,13.0,0.399,2.8,7.7,0.359,2.4,5.3,0.459,1.8,2.1,0.871,0.4,4.5,4.9,5.9,2.5,0.2,3.0,5.3,14.9,,103.0,104.0
2012,25.0,MIA,NBA,PG,64.0,64.0,1825.0,6.4,14.4,0.448,2.9,7.5,0.388,3.5,6.9,0.513,2.3,2.9,0.792,0.5,4.5,4.9,6.4,2.8,0.3,4.1,4.8,18.1,,104.0,101.0
2013,26.0,MIA,NBA,PG,77.0,77.0,2068.0,5.8,13.5,0.429,3.1,7.7,0.409,2.7,5.8,0.456,2.3,2.9,0.795,0.5,3.9,4.4,7.0,3.0,0.3,3.0,5.0,17.1,,110.0,104.0
2014,27.0,MIA,NBA,PG,73.0,73.0,2178.0,6.1,13.5,0.454,2.1,5.5,0.385,4.0,8.1,0.5,2.9,3.9,0.742,1.0,4.2,5.2,8.6,2.9,0.4,3.9,5.1,17.3,,108.0,106.0
2015,28.0,MIA,NBA,PG,80.0,37.0,2368.0,6.0,14.8,0.403,1.6,5.5,0.294,4.3,9.3,0.467,4.6,5.9,0.774,0.5,4.1,4.6,6.8,2.7,0.2,3.9,5.6,18.1,,100.0,107.0
2016,29.0,TOT,NBA,PG,61.0,7.0,1373.0,6.8,16.6,0.41,1.7,5.6,0.309,5.1,11.1,0.461,8.2,9.8,0.832,0.9,5.0,5.9,8.6,3.3,0.5,4.1,6.8,23.5,,110.0,106.0
2016,29.0,MIA,NBA,PG,6.0,0.0,120.0,4.3,13.7,0.313,0.4,4.7,0.091,3.8,9.0,0.429,5.1,5.6,0.923,0.4,5.6,6.0,8.1,3.4,0.4,3.8,6.8,14.1,,91.0,102.0
2016,29.0,MEM,NBA,PG,55.0,7.0,1253.0,7.1,16.9,0.417,1.8,5.7,0.326,5.2,11.3,0.464,8.5,10.2,0.827,0.9,4.9,5.9,8.7,3.3,0.5,4.1,6.8,24.4,,111.0,106.0
2018,31.0,MEM,NBA,PG,66.0,10.0,1421.0,6.0,15.8,0.379,1.9,6.8,0.277,4.1,9.0,0.456,4.2,4.9,0.855,0.5,5.1,5.6,7.0,2.8,0.5,4.2,6.4,18.0,,96.0,110.0
