Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,22.0,WAS,NBA,C,62,2,20.4,1.8,3.6,.493,0.0,0.0,,1.8,3.6,.493,.493,1.6,2.6,.606,2.3,2.9,5.2,0.5,0.3,1.5,0.8,2.5,5.1
2002-03,23.0,WAS,NBA,C,81,69,23.8,2.1,4.2,.510,0.0,0.0,,2.1,4.2,.510,.510,1.9,3.0,.633,2.4,2.6,5.0,0.4,0.4,1.5,0.8,2.8,6.2
2003-04,24.0,WAS,NBA,C,77,59,19.3,2.6,5.0,.515,0.0,0.0,.000,2.6,5.0,.517,.515,1.8,3.0,.585,2.4,2.6,5.0,0.6,0.4,1.3,1.0,2.0,7.0
2004-05,25.0,WAS,NBA,C,68,68,27.4,3.5,6.3,.560,0.0,0.0,,3.5,6.3,.560,.560,2.3,3.8,.609,3.0,3.9,6.8,0.8,0.8,1.7,1.4,3.2,9.4
2005-06,26.0,WAS,NBA,C,79,70,23.8,2.8,5.5,.514,0.0,0.0,,2.8,5.5,.514,.514,1.7,2.8,.585,2.5,3.4,5.9,0.6,0.4,1.3,1.2,2.9,7.3
2006-07,27.0,WAS,NBA,C,77,49,22.6,2.6,4.6,.558,0.0,0.0,,2.6,4.6,.558,.558,1.5,2.7,.548,2.5,3.7,6.2,0.6,0.4,1.1,1.2,2.7,6.6
2007-08,28.0,WAS,NBA,C,80,80,27.9,4.0,7.5,.528,0.0,0.0,,4.0,7.5,.528,.528,2.7,3.7,.735,3.4,3.8,7.2,0.9,0.4,1.7,1.4,2.7,10.6
2008-09,29.0,WAS,NBA,C,6,5,29.2,4.0,8.3,.480,0.0,0.0,,4.0,8.3,.480,.480,1.7,3.5,.476,2.2,5.2,7.3,1.3,0.7,2.5,1.5,2.3,9.7
2009-10,30.0,TOT,NBA,C,77,67,30.6,3.6,6.4,.562,0.0,0.0,.000,3.6,6.4,.563,.562,2.0,3.2,.620,3.6,5.7,9.3,0.6,0.3,2.1,1.3,2.7,9.1
2009-10,30.0,WAS,NBA,C,49,48,32.9,3.8,6.8,.561,0.0,0.0,,3.8,6.8,.561,.561,2.1,3.2,.646,4.1,6.3,10.3,0.4,0.4,2.1,1.4,3.0,9.8
2009-10,30.0,DAL,NBA,C,28,19,26.5,3.1,5.6,.564,0.0,0.0,.000,3.1,5.5,.568,.564,1.8,3.1,.575,2.8,4.6,7.4,0.9,0.3,2.0,1.1,2.3,8.1
2010-11,31.0,DAL,NBA,C,72,8,18.5,1.8,3.1,.574,0.0,0.0,.000,1.8,3.1,.577,.574,0.9,2.5,.362,1.8,3.4,5.2,0.3,0.2,1.0,0.7,2.0,4.4
2011-12,32.0,DAL,NBA,C,54,54,21.2,2.2,4.2,.518,0.0,0.0,,2.2,4.2,.518,.518,0.8,1.8,.469,2.6,3.4,6.0,0.4,0.4,1.0,0.9,2.2,5.2
2012-13,33.0,CHA,NBA,C,61,17,19.0,1.5,3.5,.431,0.0,0.0,.000,1.5,3.5,.433,.431,0.5,1.1,.455,2.0,2.7,4.8,0.5,0.3,0.8,0.8,2.0,3.5
2013-14,34.0,Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot),Did Not Play (injury—stress fracture in right foot)
2014-15,35.0,CLE,NBA,C,22,1,5.4,0.6,1.4,.467,0.0,0.0,,0.6,1.4,.467,.467,0.3,0.6,.538,0.3,1.0,1.3,0.1,0.1,0.5,0.5,0.8,1.6
