Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986,14,1098,LAL,Los Angeles Lakers,A.C. Green,"October 4, 1963",22.0,NBA,PF,9.0,0.0,106.0,3.1,5.8,0.53,0.0,0.0,,3.1,5.8,0.53,1.4,3.1,0.44,1.0,4.4,5.4,0.0,0.3,1.0,1.4,4.4,7.5
1987,14,1098,LAL,Los Angeles Lakers,A.C. Green,"October 4, 1963",23.0,NBA,PF,18.0,18.0,505.0,5.1,9.3,0.55,0.0,0.0,,5.1,9.3,0.55,4.6,6.2,0.75,3.8,6.3,10.1,0.8,0.6,0.6,1.2,3.4,14.8
1988,14,1098,LAL,Los Angeles Lakers,A.C. Green,"October 4, 1963",24.0,NBA,PF,24.0,18.0,726.0,4.6,8.4,0.54,0.0,0.0,,4.6,8.4,0.54,2.7,3.6,0.75,2.8,5.9,8.7,1.0,0.5,0.6,1.3,3.0,11.9
1989,14,1098,LAL,Los Angeles Lakers,A.C. Green,"October 4, 1963",25.0,NBA,PF,15.0,15.0,502.0,3.4,8.2,0.41,0.0,0.2,0.0,3.4,8.0,0.42,4.2,5.5,0.76,2.7,7.1,9.8,1.3,1.1,0.4,1.6,2.7,10.9
1990,14,1098,LAL,Los Angeles Lakers,A.C. Green,"October 4, 1963",26.0,NBA,PF,9.0,9.0,252.0,5.9,11.3,0.52,0.0,0.0,,5.9,11.3,0.52,3.4,4.6,0.75,4.9,6.7,11.6,1.3,0.7,0.6,2.0,3.1,15.1
1991,14,1098,LAL,Los Angeles Lakers,A.C. Green,"October 4, 1963",27.0,NBA,PF,19.0,1.0,400.0,3.7,8.7,0.42,0.4,0.7,0.5,3.3,8.0,0.42,3.4,4.9,0.7,4.1,5.0,9.2,0.8,1.1,0.3,1.7,3.3,11.2
1992,14,1098,LAL,Los Angeles Lakers,A.C. Green,"October 4, 1963",28.0,NBA,PF,4.0,4.0,153.0,3.8,9.2,0.41,0.0,0.0,,3.8,9.2,0.41,4.5,5.4,0.83,3.5,4.9,8.5,1.6,1.6,0.0,1.2,2.4,12.0
1993,14,1098,LAL,Los Angeles Lakers,A.C. Green,"October 4, 1963",29.0,NBA,PF,5.0,5.0,220.0,2.9,6.9,0.43,0.0,0.8,0.0,2.9,6.1,0.49,2.1,3.4,0.62,4.3,7.7,11.9,2.1,1.1,0.5,1.5,2.3,8.0
1994,24,1098,PHO,Phoenix Suns,A.C. Green,"October 4, 1963",30.0,NBA,PF,10.0,2.0,350.0,4.1,8.5,0.48,0.7,1.7,0.41,3.4,6.8,0.5,3.9,6.4,0.61,3.0,5.7,8.6,1.3,1.0,0.2,0.7,2.3,12.9
1995,24,1098,PHO,Phoenix Suns,A.C. Green,"October 4, 1963",31.0,NBA,SF,10.0,10.0,368.0,3.5,7.6,0.46,0.1,1.2,0.08,3.4,6.5,0.53,5.4,6.2,0.87,3.7,8.0,11.7,1.3,0.6,0.2,1.0,2.2,12.5
1996,24,1098,PHO,Phoenix Suns,A.C. Green,"October 4, 1963",32.0,NBA,SF,4.0,4.0,87.0,2.5,7.0,0.35,0.0,1.2,0.0,2.5,5.8,0.43,2.9,3.3,0.88,2.5,5.0,7.4,0.8,0.4,0.0,0.8,2.9,7.9
2001,16,1098,MIA,Miami Heat,A.C. Green,"October 4, 1963",37.0,NBA,PF,3.0,0.0,21.0,1.7,5.1,0.33,0.0,0.0,,1.7,5.1,0.33,1.7,1.7,1.0,1.7,5.1,6.9,3.4,1.7,0.0,1.7,6.9,5.1
