Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,20.0,BOS,NBA,PF,71,1,14.8,2.7,5.2,.528,0.0,0.0,.000,2.7,5.2,.533,.528,1.2,1.9,.630,1.7,2.7,4.4,0.3,0.3,0.8,0.9,2.7,6.7
2005-06,21.0,BOS,NBA,PF,59,7,18.0,3.2,6.4,.499,0.0,0.1,.000,3.2,6.4,.504,.499,1.5,2.3,.642,1.6,3.4,5.1,0.5,0.5,0.8,1.1,2.8,7.9
2006-07,22.0,BOS,NBA,C,69,60,33.6,6.6,12.8,.514,0.0,0.0,.000,6.6,12.8,.514,.514,2.9,4.3,.681,3.4,7.5,11.0,1.3,0.7,1.5,2.0,3.4,16.0
2007-08,23.0,MIN,NBA,C,82,82,35.6,8.8,17.6,.500,0.0,0.1,.000,8.8,17.5,.502,.500,3.5,4.8,.721,3.8,7.4,11.1,1.4,0.9,1.5,2.0,2.7,21.0
2008-09,24.0,MIN,NBA,C,50,50,36.7,9.7,19.5,.497,0.0,0.1,.000,9.7,19.4,.499,.497,3.7,5.0,.738,3.4,7.5,11.0,1.6,0.8,1.7,1.8,2.8,23.1
2009-10,25.0,MIN,NBA,C,76,76,32.4,7.4,14.8,.498,0.0,0.1,.000,7.4,14.8,.500,.498,2.4,3.5,.680,2.4,6.9,9.3,1.8,0.8,1.3,1.8,2.7,17.1
2010-11,26.0,UTA,NBA,C,82,82,35.9,8.0,16.1,.496,0.0,0.0,,8.0,16.1,.496,.496,2.7,3.5,.761,2.9,6.8,9.7,1.8,0.6,1.9,1.3,2.9,18.6
2011-12,27.0,UTA,NBA,C,61,61,34.0,8.5,17.2,.492,0.0,0.1,.250,8.4,17.1,.493,.493,2.2,2.9,.774,2.2,7.4,9.6,2.2,0.8,1.7,1.0,2.5,19.2
2012-13,28.0,UTA,NBA,C,78,78,33.1,7.8,15.8,.494,0.0,0.2,.118,7.8,15.6,.500,.495,2.1,2.8,.770,2.0,7.2,9.2,2.1,1.0,1.1,1.3,2.2,17.8
2013-14,29.0,CHA,NBA,C,73,73,35.0,9.6,18.8,.509,0.0,0.2,.200,9.5,18.6,.512,.510,2.6,3.8,.690,2.1,8.7,10.8,2.1,0.9,1.1,1.7,2.4,21.8
2014-15,30.0,CHO,NBA,C,65,61,30.6,7.5,15.5,.481,0.0,0.1,.400,7.4,15.5,.482,.482,1.7,2.5,.655,1.5,6.9,8.4,1.7,0.7,1.3,1.0,2.1,16.6
2015-16,31.0,CHO,NBA,C,47,18,23.3,5.2,10.7,.485,0.0,0.0,,5.2,10.7,.485,.485,1.5,2.4,.649,1.2,5.2,6.4,1.5,0.6,0.9,0.7,2.5,12.0
2016-17,32.0,IND,NBA,C,66,1,14.1,3.6,7.1,.499,0.0,0.0,.000,3.6,7.1,.500,.499,1.0,1.3,.765,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,8.1
2017-18,33.0,IND,NBA,C,36,1,13.4,3.1,5.8,.534,0.0,0.1,.000,3.1,5.7,.541,.534,0.8,1.0,.833,0.8,3.1,4.0,0.8,0.4,0.6,0.6,1.8,7.0
2018-19,34.0,Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China)
