Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1981,8,863,DEN,Denver Nuggets,Alex English,27,81,3093,19.7,0.55,0.0,0.3,8.8,12.6,10.7,13.4,1.5,1.6,12.1,24.0,6.7,1.6,8.3,0.13,3.1,-1.0,2.2,3.2
1981,8,1943,DEN,Denver Nuggets,Billy McKinney,25,49,1134,15.5,0.55,0.02,0.34,2.1,7.9,4.9,23.3,2.4,0.3,15.7,18.4,1.8,0.5,2.3,0.1,0.0,-0.2,-0.2,0.5
1981,8,2142,DEN,Denver Nuggets,Carl Nicks,22,27,493,8.3,0.47,0.01,0.4,2.6,7.6,5.1,19.9,2.5,0.2,26.5,17.9,-0.7,0.2,-0.4,-0.04,-3.8,-1.0,-4.8,-0.4
1981,8,1324,DEN,Denver Nuggets,Cedrick Hordges,24,68,1599,10.7,0.51,0.01,0.39,7.5,22.1,14.6,8.0,0.9,0.6,17.6,15.8,0.5,1.0,1.5,0.04,-2.3,-1.0,-3.3,-0.5
1981,8,1388,DEN,Denver Nuggets,Dan Issel,32,80,2641,21.7,0.57,0.01,0.56,8.6,17.7,13.1,8.4,1.4,1.0,7.9,23.2,8.9,1.6,10.5,0.19,3.7,-1.1,2.7,3.1
1981,8,2491,DEN,Denver Nuggets,Dave Robisch,31,73,1744,14.4,0.52,0.0,0.33,7.4,17.0,12.1,9.5,0.8,0.8,8.6,17.1,2.9,0.7,3.6,0.1,0.7,-1.3,-0.7,0.6
1981,8,2865,DEN,Denver Nuggets,David Thompson,26,77,2620,19.4,0.57,0.03,0.42,4.1,7.2,5.6,13.2,0.9,1.2,12.7,27.9,6.0,0.4,6.4,0.12,3.0,-2.1,0.9,1.9
1981,8,1054,DEN,Denver Nuggets,Glen Gondrezick,25,73,1077,16.3,0.54,0.01,0.42,12.6,16.6,14.5,9.6,3.7,0.9,15.1,15.8,1.8,1.3,3.1,0.14,0.3,1.4,1.7,1.0
1981,8,2405,DEN,Denver Nuggets,James Ray,23,18,148,4.2,0.35,0.02,0.2,8.8,17.0,12.8,8.8,1.2,1.4,19.6,16.7,-0.3,0.1,-0.2,-0.07,-5.4,-0.7,-6.1,-0.2
1981,8,2200,DEN,Denver Nuggets,Jawann Oldham,23,4,21,3.3,0.33,0.0,0.0,14.2,10.0,12.1,0.0,0.0,4.8,25.0,14.1,0.0,0.0,0.0,-0.09,-4.6,-0.4,-5.0,0.0
1981,8,2493,DEN,Denver Nuggets,John Roche,31,26,611,13.1,0.54,0.15,0.43,0.8,5.5,3.1,28.2,1.2,0.7,19.6,16.1,0.7,0.1,0.8,0.06,0.6,-2.0,-1.4,0.1
1981,8,1283,DEN,Denver Nuggets,Kenny Higgs,26,72,1689,11.9,0.51,0.07,0.36,1.4,7.5,4.4,29.3,2.6,0.2,23.2,15.7,0.7,0.9,1.5,0.04,-1.9,-0.5,-2.4,-0.2
1981,8,2954,DEN,Denver Nuggets,Kiki Vandeweghe,22,51,1376,11.9,0.48,0.01,0.3,6.2,14.0,10.0,8.7,0.9,0.9,12.4,18.7,0.7,0.5,1.2,0.04,-1.0,-1.7,-2.7,-0.3
1981,8,1354,DEN,Denver Nuggets,Kim Hughes,28,8,159,10.3,0.44,0.0,0.08,11.9,20.4,16.0,7.9,3.0,4.5,29.8,8.6,0.0,0.2,0.2,0.06,-2.8,1.8,-1.1,0.1
1981,8,2948,DEN,Denver Nuggets,Ronnie Valentine,23,24,123,10.3,0.4,0.02,0.19,8.1,17.0,12.4,8.8,2.5,1.7,13.1,36.9,-0.4,0.1,-0.3,-0.13,-5.6,-1.6,-7.2,-0.2
1981,8,804,DEN,Denver Nuggets,T.R. Dunn,25,82,1427,10.2,0.46,0.01,0.34,9.3,12.3,10.8,6.7,2.0,1.0,12.1,12.1,0.7,0.8,1.6,0.05,-0.9,-0.1,-1.0,0.3
