Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,23.0,BOS,NBA,SF,64.0,6.0,23.0,3.8,8.5,0.441,0.0,0.2,0.3,3.7,8.4,0.444,0.444,3.1,4.7,0.671,1.4,2.0,3.4,1.1,0.9,0.2,1.4,2.3,10.7
1996-97,24.0,BOS,NBA,SG,72.0,67.0,33.8,5.2,11.4,0.456,0.0,0.1,0.25,5.2,11.3,0.458,0.457,4.6,6.1,0.752,1.8,2.8,4.6,1.8,1.0,0.2,1.9,3.0,15.0
1997-98,25.0,DEN,NBA,SF,4.0,4.0,36.3,6.0,15.3,0.393,0.0,0.0,,6.0,15.3,0.393,0.393,7.8,11.3,0.689,2.5,2.8,5.3,3.0,1.0,0.0,2.3,2.3,19.8
1998-99,26.0,DEN,NBA,SF,38.0,8.0,20.5,2.1,5.8,0.365,0.2,0.7,0.231,1.9,5.1,0.383,0.379,2.9,3.7,0.799,0.9,1.2,2.1,1.0,0.7,0.2,1.3,2.0,7.3
1999-00,27.0,BOS,NBA,SF,68.0,17.0,20.3,2.4,5.7,0.427,0.4,1.1,0.347,2.1,4.6,0.446,0.46,2.0,2.5,0.793,0.8,1.5,2.3,1.4,0.6,0.2,1.0,2.4,7.2
2000-01,28.0,BOS,NBA,SF,81.0,11.0,21.5,2.0,5.5,0.362,0.6,1.7,0.331,1.4,3.8,0.375,0.413,2.0,2.9,0.714,0.8,1.8,2.6,1.4,0.8,0.2,0.9,2.2,6.6
2001-02,29.0,BOS,NBA,SF,74.0,30.0,23.6,1.9,5.2,0.374,0.3,1.2,0.279,1.6,4.0,0.401,0.405,2.2,3.0,0.731,0.8,2.2,3.0,1.5,1.0,0.1,1.3,2.4,6.4
2002-03,30.0,BOS,NBA,SF,82.0,79.0,28.7,3.1,7.0,0.442,0.5,1.3,0.336,2.6,5.7,0.467,0.474,2.5,3.3,0.75,1.7,2.9,4.7,1.7,1.0,0.2,1.2,2.9,9.1
2003-04,31.0,TOT,NBA,SF,71.0,36.0,26.6,3.3,8.4,0.386,0.5,1.8,0.276,2.8,6.6,0.416,0.416,3.0,4.0,0.76,0.9,3.1,4.0,1.7,1.0,0.1,1.2,2.5,10.0
2003-04,31.0,BOS,NBA,SF,21.0,0.0,24.4,3.7,8.4,0.435,0.5,1.5,0.344,3.1,6.9,0.455,0.466,3.7,5.2,0.716,1.0,3.5,4.5,1.2,1.0,0.0,1.5,2.5,11.6
2003-04,31.0,CLE,NBA,SF,50.0,36.0,27.5,3.1,8.4,0.366,0.5,1.9,0.253,2.6,6.5,0.399,0.394,2.7,3.5,0.787,0.9,2.9,3.8,1.9,1.0,0.2,1.1,2.6,9.4
2004-05,32.0,TOT,NBA,SG,55.0,39.0,24.0,2.6,6.0,0.43,0.5,1.3,0.384,2.1,4.7,0.444,0.473,2.0,2.9,0.696,0.8,2.3,3.1,1.7,0.7,0.1,1.1,2.7,7.7
2004-05,32.0,NJN,NBA,SG,21.0,21.0,35.2,4.1,8.8,0.47,0.8,1.9,0.425,3.3,6.9,0.483,0.516,3.5,5.1,0.685,1.3,3.2,4.5,2.0,0.8,0.1,1.6,3.8,12.6
2004-05,32.0,TOR,NBA,SG,34.0,18.0,17.1,1.6,4.3,0.379,0.3,1.0,0.333,1.3,3.3,0.393,0.417,1.1,1.6,0.717,0.5,1.8,2.3,1.5,0.6,0.1,0.8,2.0,4.7
2005-06,33.0,TOR,NBA,SF,28.0,11.0,12.6,1.0,2.7,0.387,0.2,0.6,0.278,0.9,2.0,0.421,0.42,1.0,1.4,0.737,0.4,1.4,1.8,0.5,0.3,0.1,0.5,2.0,3.3
2006-07,34.0,TOT,NBA,SF,21.0,0.0,5.8,0.9,2.2,0.404,0.4,0.9,0.421,0.5,1.3,0.393,0.489,0.4,0.7,0.571,0.1,0.7,0.8,0.3,0.1,0.0,0.3,0.6,2.6
2006-07,34.0,SAS,NBA,SF,16.0,0.0,5.5,0.9,2.1,0.441,0.5,1.1,0.471,0.4,1.1,0.412,0.559,0.3,0.4,0.571,0.1,0.8,0.9,0.4,0.1,0.0,0.3,0.4,2.6
2006-07,34.0,CHA,NBA,SF,5.0,0.0,6.6,0.8,2.6,0.308,0.0,0.4,0.0,0.8,2.2,0.364,0.308,0.8,1.4,0.571,0.4,0.2,0.6,0.2,0.2,0.0,0.4,1.2,2.4
