Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1982,22.0,GSW,NBA,PF,59.0,1073.0,14.8,0.565,0.0,0.321,9.1,22.4,15.7,4.6,2.0,4.0,16.8,14.3,,0.9,1.7,2.6,0.116,,-1.0,1.9,0.9,0.8
1983,23.0,GSW,NBA,PF,75.0,1533.0,15.6,0.566,0.002,0.357,10.5,17.5,13.9,3.9,2.1,3.2,15.4,16.8,,2.0,1.7,3.7,0.117,,-0.9,0.3,-0.5,0.6
1984,24.0,TOT,NBA,PF,77.0,1434.0,13.2,0.508,0.002,0.325,9.8,16.8,13.4,6.1,2.3,4.3,16.7,17.0,,0.1,2.6,2.7,0.091,,-2.5,1.8,-0.8,0.5
1984,24.0,GSW,NBA,PF,7.0,59.0,17.7,0.481,0.0,0.269,6.9,17.9,12.0,4.8,4.7,2.9,9.4,21.2,,0.0,0.1,0.1,0.117,,-2.7,0.8,-1.9,0.1
1984,24.0,PHI,NBA,PF,70.0,1375.0,13.0,0.509,0.002,0.328,9.9,16.8,13.5,6.2,2.2,4.3,17.2,16.8,,0.1,2.5,2.6,0.09,,-2.5,1.8,-0.7,0.4
1985,25.0,PHI,NBA,PF,46.0,488.0,6.9,0.427,0.007,0.318,8.9,15.6,12.3,3.0,2.5,3.1,20.7,17.6,,-0.8,0.7,-0.1,-0.008,,-6.0,0.4,-5.6,-0.4
