Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,29,UTA,Utah Jazz,Adrian Dantley,29,10,10,398,7.1,13.7,0.52,0.0,0.1,0.0,7.1,13.6,0.53,8.6,11.0,0.78,2.3,4.5,6.8,1.8,1.4,0.0,3.3,3.5,22.9
1985,29,UTA,Utah Jazz,Thurl Bailey,23,10,10,375,6.0,14.6,0.41,0.0,0.0,,6.0,14.6,0.41,4.3,5.3,0.82,2.0,6.8,8.8,2.6,0.5,1.7,2.0,2.9,16.2
1985,29,UTA,Utah Jazz,Darrell Griffith,26,10,10,340,7.6,16.7,0.46,1.4,3.8,0.36,6.2,12.9,0.48,1.9,2.6,0.72,0.6,2.4,3.1,2.6,1.3,0.5,2.6,2.2,18.5
1985,29,UTA,Utah Jazz,Rickey Green,30,10,10,302,6.8,12.6,0.54,0.1,0.8,0.14,6.7,11.8,0.57,4.2,4.5,0.92,1.2,2.4,3.6,8.9,1.4,0.0,2.4,2.7,17.9
1985,29,UTA,Utah Jazz,Jeff Wilkins,29,10,0,257,7.1,16.5,0.43,0.0,0.1,0.0,7.1,16.4,0.44,3.8,4.9,0.77,1.8,7.0,8.8,1.8,0.6,0.7,2.1,3.8,18.1
1985,29,UTA,Utah Jazz,John Stockton,22,10,0,186,4.1,8.7,0.47,0.0,0.4,0.0,4.1,8.3,0.49,5.0,6.8,0.74,1.4,4.1,5.4,8.3,2.1,0.4,3.1,5.8,13.2
1985,29,UTA,Utah Jazz,Rich Kelley,31,9,5,174,3.7,7.9,0.47,0.0,0.0,,3.7,7.9,0.47,2.7,3.1,0.87,5.2,6.6,11.8,2.9,1.4,1.0,2.9,6.6,10.1
1985,29,UTA,Utah Jazz,Mark Eaton,28,5,5,158,2.7,7.7,0.35,0.0,0.0,,2.7,7.7,0.35,1.1,1.6,0.71,2.5,7.7,10.3,1.1,0.9,6.6,2.7,4.3,6.6
1985,29,UTA,Utah Jazz,Fred Roberts,24,10,0,130,5.3,11.9,0.44,0.0,0.0,,5.3,11.9,0.44,4.4,5.5,0.8,1.7,3.0,4.7,2.5,1.9,0.8,3.9,4.4,15.0
1985,29,UTA,Utah Jazz,Pace Mannion,24,8,0,41,3.5,10.5,0.33,0.0,0.9,0.0,3.5,9.7,0.36,8.8,10.5,0.83,2.6,3.5,6.1,3.5,0.9,1.8,6.1,4.4,15.8
1985,29,UTA,Utah Jazz,Bob Hansen,24,8,0,34,2.1,8.5,0.25,0.0,0.0,,2.1,8.5,0.25,5.3,8.5,0.62,1.1,3.2,4.2,6.4,3.2,0.0,3.2,6.4,9.5
1985,29,UTA,Utah Jazz,Billy Paultz,36,5,0,30,3.6,9.6,0.38,0.0,0.0,,3.6,9.6,0.38,1.2,4.8,0.25,3.6,6.0,9.6,2.4,1.2,1.2,2.4,8.4,8.4
