Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1990,20,437,NYK,New York Knicks,54,Greg Butler,C,6-11,240,"March 11, 1966",US,1,Stanford
1990,20,522,NYK,New York Knicks,1,Maurice Cheeks,PG,6-1,180,"September 8, 1956",US,11,West Texas A&M University
1990,20,883,NYK,New York Knicks,33,Patrick Ewing,C,7-0,240,"August 5, 1962",JM,4,Georgetown
1990,20,1095,NYK,New York Knicks,40,Stuart Gray,C,7-0,235,"May 27, 1963",PA,5,UCLA
1990,20,1408,NYK,New York Knicks,13,Mark Jackson,PG,6-1,180,"April 1, 1965",US,2,St. John's
1990,20,2099,NYK,New York Knicks,8,Pete Myers,SG,6-6,180,"September 15, 1963",US,3,Little Rock
1990,20,2136,NYK,New York Knicks,4,Johnny Newman,SF,6-7,190,"November 28, 1963",US,3,Richmond
1990,20,2181,NYK,New York Knicks,34,Charles Oakley,PF,6-8,225,"December 18, 1963",US,4,Virginia Union University
1990,20,2378,NYK,New York Knicks,23,Brian Quinnett,SG,6-8,235,"May 30, 1966",US,R,Washington State
1990,20,2774,NYK,New York Knicks,11,Rod Strickland,PG,6-3,175,"July 11, 1966",US,1,DePaul
1990,20,2918,NYK,New York Knicks,6,Trent Tucker,SG,6-5,193,"December 20, 1959",US,7,Minnesota
1990,20,2954,NYK,New York Knicks,55,Kiki Vandeweghe,SF,6-8,220,"August 1, 1958",DE,9,UCLA
1990,20,3003,NYK,New York Knicks,7,Kenny Walker,PF,6-8,210,"August 18, 1964",US,3,Kentucky
1990,20,3120,NYK,New York Knicks,45,Eddie Lee Wilkins,C,6-10,220,"May 7, 1962",US,3,Gardner-Webb University
1990,20,3121,NYK,New York Knicks,21,Gerald Wilkins,SG,6-6,185,"September 11, 1963",US,4,Chattanooga
