Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002,23.0,NJN,NBA,PF,6.0,0.0,2.3,0.2,0.5,0.333,0.0,0.2,0.0,0.2,0.3,0.5,0.333,0.0,0.0,,0.2,0.3,0.5,0.0,0.0,0.2,0.2,0.0,0.3
2003,24.0,NJN,NBA,PF,7.0,0.0,2.9,0.3,0.6,0.5,0.0,0.1,0.0,0.3,0.4,0.667,0.5,0.0,0.0,,0.1,0.4,0.6,0.0,0.0,0.0,0.1,0.4,0.6
2004,25.0,NJN,NBA,PF,9.0,0.0,8.1,1.2,1.9,0.647,0.6,0.7,0.833,0.7,1.2,0.545,0.794,0.3,0.7,0.5,0.8,0.6,1.3,0.1,0.3,0.0,0.4,1.7,3.3
2005,26.0,NJN,NBA,PF,4.0,3.0,15.3,0.5,2.8,0.182,0.3,1.0,0.25,0.3,1.8,0.143,0.227,1.0,1.0,1.0,0.5,1.3,1.8,0.5,0.3,0.5,1.0,1.5,2.3
2009,30.0,BOS,NBA,C,12.0,0.0,20.5,1.8,4.3,0.423,1.1,2.4,0.448,0.8,1.9,0.391,0.548,0.3,0.3,1.0,0.6,1.6,2.2,1.0,0.2,0.4,0.4,3.6,5.1
2010,31.0,BOS,NBA,PF,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
