Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2010,2,BOS,Boston Celtics,50,32,.610,—,99.2,95.6,3.37
2010,28,TOR,Toronto Raptors,40,42,.488,10.0,104.1,105.9,-1.83
2010,20,NYK,New York Knicks,29,53,.354,21.0,102.1,105.9,-4.01
2010,23,PHI,Philadelphia 76Ers,27,55,.329,23.0,97.7,101.6,-3.93
2010,3,NJN,New Jersey Nets,12,70,.146,38.0,92.4,101.5,-8.93
2010,6,CLE,Cleveland Cavaliers,61,21,.744,—,102.1,95.6,6.17
2010,17,MIL,Milwaukee Bucks,46,36,.561,15.0,97.7,96.0,1.37
2010,5,CHI,Chicago Bulls,41,41,.500,20.0,97.5,99.1,-1.64
2010,12,IND,Indiana Pacers,32,50,.390,29.0,100.8,103.8,-3.11
2010,9,DET,Detroit Pistons,27,55,.329,34.0,94.0,99.1,-5.02
2010,22,ORL,Orlando Magic,59,23,.720,—,102.8,95.3,7.12
2010,1,ATL,Atlanta Hawks,53,29,.646,6.0,101.7,97.0,4.44
2010,16,MIA,Miami Heat,47,35,.573,12.0,96.5,94.2,1.99
2010,4,CHA,Charlotte Bobcats,44,38,.537,15.0,95.3,93.8,1.30
2010,30,WAS,Washington Wizards,26,56,.317,33.0,96.2,101.0,-4.72
