Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2000,16,MIA,Miami Heat,52,30,.634,—,94.4,91.3,2.75
2000,20,NYK,New York Knicks,50,32,.610,2.0,92.1,90.7,1.30
2000,23,PHI,Philadelphia 76Ers,49,33,.598,3.0,94.8,93.4,1.02
2000,22,ORL,Orlando Magic,41,41,.500,11.0,100.1,99.4,0.43
2000,2,BOS,Boston Celtics,35,47,.427,17.0,99.3,100.1,-1.00
2000,3,NJN,New Jersey Nets,31,51,.378,21.0,98.0,99.0,-1.18
2000,30,WAS,Washington Wizards,29,53,.354,23.0,96.6,99.9,-3.47
2000,12,IND,Indiana Pacers,56,26,.683,—,101.3,96.7,4.15
2000,4,CHO,Charlotte Hornets,49,33,.598,7.0,98.4,95.8,2.33
2000,28,TOR,Toronto Raptors,45,37,.549,11.0,97.2,97.3,-0.46
2000,9,DET,Detroit Pistons,42,40,.512,14.0,103.5,102.0,1.13
2000,17,MIL,Milwaukee Bucks,42,40,.512,14.0,101.2,101.0,-0.06
2000,6,CLE,Cleveland Cavaliers,32,50,.390,24.0,97.0,100.5,-3.64
2000,1,ATL,Atlanta Hawks,28,54,.341,28.0,94.3,99.7,-5.41
2000,5,CHI,Chicago Bulls,17,65,.207,39.0,84.8,94.2,-9.23
