SEASON,TEAM ID,TEAM,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998,15,VAN,Vancouver Grizzlies,82,19830,39.5,86.3,0.46,4.3,11.8,0.36,35.2,74.5,0.47,20.8,28.2,0.74,14.2,30.4,44.6,25.8,8.1,4.6,18.5,23.8,104.1
1998,12,IND,Indiana Pacers,82,19830,40.2,85.7,0.47,5.5,14.2,0.39,34.7,71.5,0.48,22.5,29.4,0.76,12.0,32.3,44.4,26.0,8.9,5.1,16.1,25.6,108.4
1998,13,LAC,Los Angeles Clippers,82,19780,38.5,87.8,0.44,6.9,19.3,0.36,31.6,68.6,0.46,19.4,26.9,0.72,13.7,29.9,43.5,20.1,8.2,6.0,17.4,24.0,103.3
1998,2,BOS,Boston Celtics,82,19730,39.3,90.4,0.43,5.4,16.3,0.33,33.9,74.1,0.46,18.6,25.6,0.73,15.6,26.7,42.3,23.7,12.9,4.8,17.3,28.7,102.6
1998,1,ALT,Atlanta Hawks,82,19880,39.8,87.5,0.46,4.6,14.0,0.33,35.1,73.5,0.48,24.1,31.9,0.76,15.2,33.3,48.5,21.6,9.0,6.8,16.7,23.0,108.2
1998,16,MIA,Miami Heat,82,19755,39.4,87.4,0.45,7.6,21.3,0.36,31.8,66.1,0.48,21.3,28.8,0.74,14.2,33.4,47.6,24.3,9.2,5.9,16.9,27.4,107.6
1998,28,TOR,Toronto Raptors,82,19930,38.5,88.6,0.44,4.8,14.1,0.34,33.7,74.5,0.45,19.2,26.8,0.72,15.4,27.9,43.4,22.7,10.0,8.6,17.8,24.1,101.2
1998,17,MIL,Milwaukee Bucks,82,19930,39.0,85.5,0.46,3.3,9.4,0.35,35.6,76.1,0.47,22.2,28.9,0.77,13.8,29.9,43.7,22.0,9.8,4.8,18.5,25.6,103.5
1998,25,POR,Portland Trail Blazers,82,19830,38.8,86.0,0.45,4.4,14.1,0.31,34.4,71.9,0.48,22.1,29.9,0.74,14.6,33.9,48.5,23.7,7.9,6.2,18.6,25.0,104.0
1998,9,DET,Detroit Pistons,82,19955,39.0,86.9,0.45,4.0,12.8,0.31,35.0,74.1,0.47,23.2,31.2,0.74,14.2,31.9,46.1,21.8,9.2,4.7,16.3,24.6,105.3
1998,23,PHI,Philadelphia 76Ers,82,19755,38.1,86.1,0.44,3.3,10.9,0.3,34.8,75.2,0.46,23.3,31.6,0.74,15.1,30.8,45.9,23.2,9.8,6.6,18.2,25.2,102.8
1998,26,SAC,Sacramento Kings,82,19730,39.0,88.3,0.44,3.7,10.6,0.35,35.3,77.6,0.46,19.0,27.7,0.69,14.4,30.4,44.9,24.2,7.9,5.5,16.8,23.9,100.8
1998,27,SAS,San Antonio Spurs,82,19830,39.7,84.7,0.47,4.1,11.8,0.35,35.5,72.9,0.49,20.4,29.6,0.69,13.5,36.1,49.6,25.2,7.1,7.8,18.0,23.7,103.8
1998,6,CLE,Cleveland Cavaliers,82,19830,37.9,83.6,0.45,4.0,10.8,0.37,33.9,72.8,0.47,22.3,29.5,0.76,12.9,31.4,44.3,25.5,11.0,5.6,19.1,26.1,102.2
1998,20,NYK,New York Knicks,82,19830,39.3,88.0,0.45,5.2,15.6,0.34,34.1,72.4,0.47,19.2,24.9,0.77,13.4,33.4,46.8,24.5,8.7,3.8,17.1,26.7,103.0
1998,7,DAL,Dallas Mavericks,82,19905,38.6,90.5,0.43,5.7,15.9,0.36,33.0,74.7,0.44,17.5,23.3,0.75,13.5,30.6,44.1,20.6,8.7,6.2,15.8,22.0,100.5
1998,22,ORL,Orlando Magic,82,19830,38.5,89.7,0.43,4.1,12.6,0.32,34.4,77.1,0.45,21.6,29.7,0.73,16.4,30.6,47.0,23.5,9.0,6.1,17.5,22.5,102.6
1998,8,DEN,Denver Nuggets,82,19730,36.3,87.0,0.42,3.9,12.1,0.32,32.4,74.9,0.43,22.5,29.1,0.77,14.1,29.3,43.4,21.0,9.0,5.3,17.8,26.3,99.0
1998,10,GSW,Golden State Warriors,82,19830,37.7,91.1,0.41,2.5,9.2,0.27,35.2,81.9,0.43,18.0,25.3,0.71,17.0,32.7,49.8,22.6,8.2,5.9,18.1,24.6,95.8
