PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Jarrett Jack,25,82,53,2716,7.1,15.6,0.45299999999999996,1.4,4.0,0.353,5.6,11.6,0.48700000000000004,4.1,4.8,0.852,0.8,4.2,5.1,6.2,1.6,0.3,3.4,3.3,19.7,,107,111
Troy Murphy,28,73,73,2482,7.3,15.4,0.475,3.2,7.2,0.45,4.1,8.2,0.496,3.0,3.7,0.826,2.9,14.3,17.3,3.4,1.2,0.7,2.3,4.5,20.9,,120,106
Danny Granger,25,67,66,2424,11.7,26.2,0.447,3.7,9.2,0.40399999999999997,8.0,17.0,0.47,8.3,9.4,0.878,1.0,6.0,7.0,3.8,1.4,2.0,3.4,4.2,35.5,,114,109
T.J. Ford,25,74,49,2258,9.1,20.1,0.452,0.8,2.3,0.337,8.3,17.8,0.467,5.4,6.2,0.872,1.3,4.4,5.7,8.6,2.0,0.4,4.0,4.0,24.4,,108,110
Jeff Foster,32,74,26,1828,4.8,9.6,0.501,0.1,0.2,0.28600000000000003,4.8,9.4,0.506,2.6,4.0,0.6579999999999999,5.9,8.0,13.8,3.5,1.4,1.3,2.4,6.2,12.3,,115,108
Brandon Rush,23,75,19,1803,6.7,15.9,0.423,2.2,5.8,0.373,4.6,10.1,0.451,1.3,1.8,0.6970000000000001,0.9,5.5,6.4,1.8,1.0,1.0,2.1,3.5,16.8,,97,111
Marquis Daniels,28,54,43,1700,9.1,20.2,0.451,0.5,2.6,0.2,8.6,17.5,0.489,2.7,3.8,0.721,2.3,4.9,7.3,3.3,1.8,0.8,2.8,3.5,21.4,,99,110
Rasho Nesterović,32,70,19,1214,9.2,17.9,0.513,0.0,0.0,0.0,9.2,17.9,0.514,1.0,1.3,0.7809999999999999,3.8,6.0,9.8,4.5,1.2,1.6,2.6,7.0,19.4,,108,109
Roy Hibbert,22,70,42,1009,9.8,20.7,0.47100000000000003,0.0,0.0,,9.8,20.7,0.47100000000000003,4.8,7.2,0.667,5.7,6.3,12.0,2.4,1.0,3.7,2.7,10.6,24.4,,107,107
Travis Diener,26,55,0,719,5.1,12.4,0.413,3.2,8.2,0.39,1.9,4.2,0.45899999999999996,0.8,1.0,0.8,0.4,5.5,5.9,8.4,1.8,0.3,1.5,2.9,14.3,,122,110
Stephen Graham,26,52,6,684,7.7,18.6,0.414,1.5,4.8,0.303,6.3,13.8,0.45299999999999996,3.6,4.5,0.8059999999999999,1.5,5.5,7.0,2.4,0.7,0.3,3.3,6.0,20.5,,95,112
Mike Dunleavy,28,18,14,495,9.3,23.3,0.401,3.2,9.0,0.35600000000000004,6.1,14.3,0.43,5.3,6.5,0.815,1.4,5.4,6.8,4.4,1.2,0.9,3.8,3.6,27.2,,101,111
Josh McRoberts,21,33,0,279,6.2,14.8,0.42200000000000004,0.0,1.8,0.0,6.2,13.0,0.479,1.8,2.3,0.769,4.6,8.6,13.2,2.9,2.1,2.9,2.1,7.3,14.3,,100,105
Maceo Baston,33,27,0,217,5.7,10.5,0.5429999999999999,0.0,0.2,0.0,5.7,10.3,0.556,3.9,6.2,0.63,5.0,6.9,11.9,1.6,1.4,2.3,2.8,8.9,15.4,,112,108
